delta time, euler x , euler y , euler z
Min x, Max x, Min y, Max y, Min z, Max z
0.01999999,0,0,0


0.03999998,-0.94,-3.76,71.13


0.1467782,-0.83,-3.78,71.32


0.227963,-0.68,-3.83,71.41


0.2686394,-0.48,-3.85,71.41


0.2888096,-0.48,-3.85,71.41


0.3100995,-0.42,-3.87,71.38


0.336668,-0.38,-3.91,71.37


0.3611531,-0.22,-4.17,71.53


0.3840854,-0.03,-4.31,71.6


0.4142054,0.13,-4.45,71.73


0.43536,0.13,-4.45,71.73


0.481464,0.31,-4.61,71.84


0.5222113,0.36,-4.67,71.89


0.5437495,0.36,-4.69,71.89


0.5670631,0.33,-4.73,71.89


0.5981423,0.3,-4.74,71.88


0.6255287,0.18,-4.84,71.98


0.6477521,0.18,-4.84,71.98


0.6988027,0,-5.02,72.12


0.7231239,-0.06,-5.04,72.17


0.7491819,-0.07,-5.05,72.19


0.7786589,-0.11,-5.05,72.25


0.7987468,-0.11,-5.05,72.25


0.8244554,-0.15,-5.09,72.3


0.8472939,-0.27,-5.14,72.43


0.8711349,-0.39,-5.2,72.56


0.9167697,-0.45,-5.24,72.63


0.9366589,-0.54,-5.32,72.72


0.9595804,-0.69,-5.42,72.88


0.9789501,-0.69,-5.42,72.88


1.00564,-0.84,-5.54,73.03


1.029442,-0.95,-5.7,73.17


1.061084,-0.98,-5.83,73.27


1.085899,-1.07,-6.06,73.44


1.135885,-1.05,-6.35,73.58


1.174023,-0.96,-6.45,73.58


1.208999,-0.88,-6.5,73.55


1.233666,-0.64,-6.62,73.48


1.25574,-0.53,-6.65,73.46


1.279653,-0.53,-6.65,73.46


1.305901,-0.42,-6.63,73.43


1.355269,-0.32,-6.66,73.45


1.37769,-0.32,-6.65,73.49


1.400146,-0.32,-6.65,73.49


1.425772,-0.29,-6.62,73.47


1.449967,-0.31,-6.57,73.43


1.477993,-0.31,-6.57,73.38


1.500674,-0.33,-6.58,73.4


1.524238,-0.36,-6.54,73.36


1.572969,-0.37,-6.53,73.34


1.594356,-0.39,-6.52,73.36


1.616894,-0.4,-6.52,73.42


1.644022,-0.4,-6.5,73.43


1.666941,-0.4,-6.5,73.43


1.695138,-0.4,-6.5,73.46


1.718766,-0.38,-6.54,73.51


1.746685,-0.38,-6.65,73.6


1.795801,-0.31,-6.82,73.73


1.817716,-0.31,-6.82,73.73


1.841094,-0.27,-6.89,73.84


1.866585,-0.22,-7.03,74


