delta time, euler x , euler y , euler z
Min x, Max x, Min y, Max y, Min z, Max z
0.01999999,0,0,0


0.03999998,-3.95,1.15,-3.21


0.1359429,-4.06,1.23,-3.16


0.2033274,-4.06,1.21,-3.26


0.2150585,-4.05,1.22,-3.31


0.2581965,-4.02,1.13,-3.32


0.2765882,-3.97,1.02,-3.36


0.2901704,-3.97,1.02,-3.36


0.3085751,-3.95,0.93,-3.39


0.3237077,-3.95,0.93,-3.39


0.3349495,-3.96,0.88,-3.38


0.3476827,-3.96,0.88,-3.38


0.3683755,-3.96,0.88,-3.38


0.3850212,-3.96,0.88,-3.38


0.4132398,-3.97,0.85,-3.38


0.4322219,-3.97,0.85,-3.38


0.4471278,-3.97,0.84,-3.37


0.465073,-3.94,0.84,-3.37


0.4863032,-3.61,0.85,-3.43


0.4959153,-3.61,0.85,-3.43


0.5112237,-3.61,0.85,-3.43


0.5362078,-3.61,0.83,-3.44


0.5537539,-3.64,0.78,-3.42


0.5654553,-3.64,0.78,-3.42


0.5818918,-3.71,0.76,-3.42


0.6047953,-3.77,0.73,-3.4


0.6187506,-3.86,0.7,-3.41


0.630958,-3.86,0.7,-3.41


0.6512067,-4,0.67,-3.4


0.6609012,-4.25,0.6,-3.38


0.6728622,-4.63,0.51,-3.35


0.6870933,-4.63,0.51,-3.35


0.7018204,-5.39,0.17,-3.11


0.7135397,-5.39,0.17,-3.11


0.7286305,-5.75,-0.05,-3.03


0.7420304,-5.75,-0.05,-3.03


0.7592561,-6.14,-0.95,-2.91


0.7698163,-6.14,-0.95,-2.91


0.7830644,-6.18,-1.53,-2.82


0.7964858,-6.18,-1.53,-2.82


0.8090639,-6.18,-1.53,-2.82


0.8212653,-6.18,-1.95,-2.75


0.8357157,-6.18,-1.95,-2.75


0.8473149,-6.24,-2.78,-2.73


0.8631065,-6.24,-2.78,-2.73


0.8780555,-6.8,-3.87,-2.52


0.8916436,-6.8,-3.87,-2.52


0.9032307,-8.02,-5.68,-2.09


0.918952,-8.02,-5.68,-2.09


0.9303574,-8.02,-5.68,-2.09


0.9450896,-8.68,-6.75,-1.86


0.9570588,-8.68,-6.75,-1.86


0.9693435,-9.43,-8.81,-1.38


0.9830629,-9.43,-8.81,-1.38


0.9981196,-9.42,-10.37,-1.1


1.012577,-9.42,-10.37,-1.1


1.026762,-9.07,-11.9,-0.99


1.04779,-9.07,-11.9,-0.99


1.061059,-8.68,-13.1,-0.92


