Elapsed Time (secs) , euler x , euler y , euler z , quat x , quat y , quat z , quat w
0.01999999,-0.53,-0.13,-7.37,-0.06426509,-0.004542628,-0.001429367,0.9979215


0.03999998,-0.53,-0.03,-6.73,-0.05869473,-0.004601765,-0.0005328231,0.9982653


0.2121083,-0.54,-0.03,-3.29,-0.02870517,-0.004702915,-0.0003969654,0.9995768


0.325807,-0.55,-0.12,-4.05,-0.03533011,-0.004759634,-0.001216129,0.9993637


0.3608245,-0.55,-0.13,-4.41,-0.0384691,-0.004752432,-0.001318277,0.9992477


0.4258235,-0.53,-0.13,-6.29,-0.05485719,-0.004555898,-0.00138649,0.9984829


0.4703917,-0.53,-0.1,-6.57,-0.057298,-0.004567499,-0.001136252,0.9983461


0.5205216,-0.52,-0.08,-6.53,-0.0569504,-0.004490713,-0.0009554401,0.9983664


0.5651771,-0.5,-0.04,-6.35,-0.05538379,-0.004337278,-0.0005901923,0.9984555


0.6034873,-0.47,-0.01,-6.09,-0.05311946,-0.004091086,-0.0003050159,0.9985798


0.64574,-0.42,0.04,-5.75,-0.0501581,-0.003678078,0.000164789,0.9987345


0.6829056,-0.42,0.05,-5.53,-0.04824089,-0.003681964,0.0002590144,0.9988289


0.7264316,-0.43,0.05,-5.51,-0.04806659,-0.003769084,0.0002554624,0.998837


0.76493,-0.45,0.04,-5.21,-0.04545118,-0.003938788,0.0001702205,0.9989588


0.810212,-0.51,0.01,-4.32,-0.0376902,-0.004450701,-8.053939E-05,0.9992796


0.8554071,-0.56,-0.03,-2.69,-0.02347096,-0.004879411,-0.0003764321,0.9997126


0.9014865,-0.58,-0.02,-1.46,-0.01273951,-0.005058798,-0.000239002,0.999906


0.943048,-0.59,-0.02,-0.85,-0.007416585,-0.005147262,-0.0002127167,0.9999592


0.9976059,-0.62,-0.01,1.28,0.01117018,-0.005411131,-2.682519E-05,0.9999229


1.043073,-0.64,-0.02,3.59,0.03132402,-0.005587751,4.981561E-07,0.9994937


1.095885,-0.65,0,4.62,0.04030554,-0.00566768,0.0002286283,0.9991713


1.184552,-0.66,-0.02,6.06,0.05285896,-0.005760729,0.0001301573,0.9985853


1.273749,-0.67,-0.01,8.03,0.07001694,-0.00583858,0.0003223297,0.9975287


1.313597,-0.68,0.01,9.73,0.08480627,-0.005905306,0.00059021,0.9963799


