delta time, euler x , euler y , euler z
0.01999999,0,0,0


0.03999998,1.63,-2.51,5.17


0.1919878,1.69,-2.5,5.2


0.2350924,1.72,-2.5,5.18


0.2648654,1.7,-2.5,5.18


0.2870076,1.7,-2.5,5.18


0.3107756,1.75,-2.51,5.21


0.3401119,1.78,-2.51,5.22


0.3646006,1.74,-2.52,5.22


0.3852246,1.69,-2.52,5.22


0.4088526,1.65,-2.53,5.22


0.4351846,1.66,-2.53,5.23


0.4503759,1.66,-2.53,5.23


0.47325,1.61,-2.55,5.19


0.4940115,1.63,-2.55,5.19


0.5093674,1.63,-2.55,5.19


0.5343287,1.66,-2.55,5.18


0.5543048,1.68,-2.55,5.21


0.5651272,1.68,-2.55,5.21


0.5898717,1.69,-2.55,5.22


0.6141699,1.72,-2.55,5.23


0.6275606,1.72,-2.55,5.23


0.6457835,1.7,-2.56,5.23


0.6683819,1.68,-2.57,5.25


0.6822178,1.68,-2.57,5.25


0.7097962,1.64,-2.57,5.25


0.732662,1.64,-2.57,5.25


0.7541199,1.64,-2.57,5.25


0.7812389,1.64,-2.58,5.25


0.8044969,1.64,-2.59,5.26


0.8182129,1.63,-2.6,5.27


0.8399528,1.63,-2.6,5.27


0.8692526,1.63,-2.6,5.3


0.8888082,1.62,-2.61,5.29


0.9039932,1.62,-2.61,5.29


0.9302714,1.62,-2.61,5.27


0.9457449,1.64,-2.61,5.27


0.9644763,1.63,-2.61,5.26


0.9792501,1.65,-2.61,5.24


0.9984541,1.64,-2.6,5.26


1.011728,1.64,-2.6,5.26


1.033936,1.65,-2.6,5.26


1.062912,1.64,-2.61,5.26


1.083416,1.64,-2.61,5.26


1.106837,1.6,-2.6,5.31


1.127934,1.54,-2.61,5.31


1.148423,1.54,-2.62,5.31


1.16206,1.54,-2.62,5.31


1.185573,1.54,-2.62,5.32


1.211221,1.54,-2.62,5.32


1.263632,1.6,-2.62,5.36


1.29013,1.6,-2.62,5.36


1.30749,1.6,-2.62,5.36


1.325398,1.56,-2.63,5.38


1.351499,1.57,-2.64,5.37


1.377514,1.58,-2.63,5.39


1.402197,1.59,-2.62,5.4


1.420928,1.55,-2.63,5.39


1.437482,1.55,-2.63,5.39


1.461693,1.53,-2.65,5.39


1.478915,1.54,-2.64,5.39


1.524224,1.54,-2.66,5.38


1.536071,1.56,-2.66,5.39


1.553487,1.57,-2.66,5.4


1.584318,1.54,-2.66,5.4


1.607092,1.55,-2.65,5.4


1.619708,1.55,-2.65,5.4


1.649905,1.53,-2.65,5.39


1.677575,1.51,-2.66,5.39


1.700674,1.51,-2.65,5.38


1.734904,1.5,-2.67,5.37


