delta time, euler x , euler y , euler z
0.01999999,5.87,-7.21,-15.76


0.03999998,0.37,-2.59,1.86


0.1705605,0.65,-2.49,1.88


0.2993046,0.74,-2.44,1.84


0.3229855,0.74,-2.44,1.84


0.354057,0.72,-2.5,1.83


0.3674893,0.74,-2.54,1.83


0.402248,0.75,-2.56,1.82


0.4353138,0.76,-2.64,1.81


0.462309,0.75,-2.7,1.81


0.4874441,0.75,-2.75,1.81


0.5137449,0.75,-2.76,1.82


0.5401286,0.74,-2.76,1.81


0.564608,0.78,-2.75,1.81


0.5835589,0.78,-2.75,1.81


0.6150287,0.68,-2.76,1.76


0.6505432,0.67,-2.72,1.75


0.6695144,0.65,-2.75,1.73


0.7001233,0.64,-2.78,1.7


0.7212325,0.62,-2.8,1.69


0.7544759,0.61,-2.83,1.69


0.7824479,0.61,-2.84,1.7


0.8167759,0.56,-2.93,1.67


0.8642194,0.5,-2.96,1.63


0.889443,0.5,-2.96,1.63


0.9160894,0.47,-2.95,1.66


0.9455845,0.38,-2.96,1.66


0.9707014,0.3,-2.95,1.64


0.9975196,0.26,-2.95,1.64


1.028222,0.26,-2.94,1.64


1.079282,0.29,-2.91,1.63


1.105443,0.32,-2.88,1.65


1.130503,0.31,-2.89,1.64


1.168005,0.29,-2.9,1.64


1.233723,0.3,-2.89,1.63


1.279037,0.3,-2.89,1.65


1.309237,0.29,-2.91,1.65


1.347445,0.29,-2.96,1.66


1.381388,0.3,-3,1.68


1.404828,0.31,-3.02,1.69


1.43331,0.3,-3.05,1.67


1.459793,0.3,-3.05,1.67


1.511019,0.23,-3.1,1.64


1.533608,0.21,-3.11,1.65


1.55041,0.21,-3.11,1.65


1.574464,0.16,-3.14,1.64


1.598939,0.16,-3.14,1.66


1.617476,0.13,-3.13,1.67


1.641285,0.13,-3.13,1.67


1.662982,0.1,-3.09,1.68


1.707774,0.06,-3.07,1.69


1.723692,0.06,-3.07,1.69


1.752077,0.05,-3.08,1.69


1.771343,0.05,-3.08,1.7


1.806272,0.05,-3.08,1.7


1.848715,0.02,-3.1,1.69


1.87664,-0.01,-3.09,1.73


1.924949,-0.07,-3.04,1.73


1.945329,-0.08,-3.03,1.74


1.972394,-0.09,-3.03,1.74


1.997195,-0.13,-3.03,1.75


2.024407,-0.18,-3.04,1.77


2.052029,-0.2,-3.04,1.77


2.07669,-0.24,-3.07,1.76


2.109684,-0.3,-3.08,1.75


2.155602,-0.94,-3.09,1.78


2.171806,-0.94,-3.09,1.78


2.201643,-1.23,-3.07,1.8


2.226485,-1.94,-3,1.9


2.253614,-2.99,-2.93,1.99


2.266011,-2.99,-2.93,1.99


2.302315,-4.08,-3.04,1.98


2.331579,-5.09,-3.05,1.93


2.378351,-6.63,-3.13,1.81


2.401908,-7.61,-3.2,1.76


2.42815,-7.61,-3.2,1.76


2.454337,-8.64,-3.17,1.72


2.487063,-8.64,-3.17,1.72


2.517478,-10.03,-3.09,1.7


2.548805,-10.03,-3.09,1.7


2.596336,-11.73,-2.9,1.66


2.625594,-13.76,-2.39,1.71


2.653101,-14.19,-2.28,1.69


2.681578,-14.59,-2.23,1.66


2.707453,-14.59,-2.23,1.66


2.735458,-16.21,-1.99,1.66


2.757748,-16.81,-1.91,1.66


2.802339,-16.74,-1.88,1.52


2.83374,-16.5,-1.72,1.68


2.867045,-16.11,-1.51,2


2.888822,-16.87,-1.46,1.86


2.911921,-17.06,-1.17,1.83


2.94088,-17.14,-1.01,1.8


2.959922,-17.14,-1.01,1.8


2.999346,-18.16,-0.63,1.45


3.020612,-18.16,-0.63,1.45


3.042819,-18.89,-0.63,1.31


3.066254,-19.82,-0.67,1.16


3.099602,-20.39,-0.79,1.05


3.123188,-21.54,-0.93,0.92


3.14764,-22.86,-1.01,0.92


3.180211,-24.2,-1.05,0.89


3.223817,-25.55,-1.15,0.88


3.254891,-26.19,-1.18,0.9


3.275449,-27.27,-1.1,1.04


3.305796,-28.18,-0.98,1.13


3.327314,-28.61,-0.93,1.15


3.355832,-29.82,-0.8,1.28


3.379706,-29.82,-0.8,1.28


3.416819,-30.39,-0.59,1.46


3.436754,-30.39,-0.59,1.46


3.457205,-30.6,-0.48,1.57


3.478012,-30.67,-0.43,1.62


3.497386,-30.69,-0.36,1.66


3.525245,-30.66,-0.3,1.7


3.545228,-30.61,-0.28,1.72


3.573786,-30.47,-0.22,1.78


3.596712,-30.31,-0.14,1.82


3.638819,-30.25,-0.08,1.85


3.656948,-30.25,-0.05,1.86


3.676557,-30.26,-0.03,1.87


3.703124,-30.3,0,1.88


3.722312,-30.31,0.05,1.93


3.747846,-30.37,0.1,1.98


3.770395,-30.38,0.15,1.99


3.789712,-30.38,0.19,1.99


3.820947,-30.37,0.28,2


3.85748,-30.38,0.29,2.01


3.881228,-30.33,0.32,2.02


3.909895,-30.16,0.33,2.03


3.93416,-29.99,0.31,2.04


3.957898,-29.86,0.33,2.08


3.985148,-29.8,0.33,2.08


4.006823,-29.8,0.33,2.08


4.026977,-29.64,0.35,2.09


4.070289,-29.21,0.34,2.15


4.088622,-28.96,0.34,2.18


4.111964,-28.28,0.21,2.26


4.137501,-27.86,0.11,2.32


4.16781,-27.11,0.06,2.49


4.189471,-27.11,0.06,2.49


4.222821,-26.37,0.05,2.58


4.25425,-26.04,0.02,2.58


4.286838,-25.89,0.03,2.61


4.30908,-25.89,0.03,2.61


4.330222,-25.73,0.02,2.61


4.351377,-25.56,0.07,2.62


4.384001,-25.44,0.09,2.58


4.406361,-25.27,0.09,2.61


4.425552,-25.27,0.09,2.61


4.451587,-25.16,0.11,2.62


4.479158,-24.99,0.12,2.62


4.516321,-24.77,0.14,2.63


4.539504,-24.53,0.17,2.66


4.56842,-24.46,0.19,2.66


4.588288,-24.17,0.22,2.67


4.610645,-24.08,0.23,2.67


4.638189,-24.08,0.23,2.67


4.66821,-23.89,0.26,2.69


4.70165,-23.43,0.35,2.72


4.743384,-23.28,0.36,2.71


4.756893,-23.28,0.36,2.71


4.779531,-23.03,0.38,2.7


4.810583,-22.75,0.41,2.71


4.841,-22.43,0.44,2.73


4.868317,-22.21,0.45,2.73


4.886759,-22.09,0.47,2.73


4.912016,-21.92,0.51,2.73


4.952792,-21.92,0.53,2.73


4.97208,-21.99,0.55,2.73


4.995267,-21.99,0.55,2.73


5.018922,-21.95,0.57,2.74


5.044616,-21.84,0.61,2.75


5.066611,-21.68,0.62,2.74


5.093074,-21.64,0.62,2.72


5.116556,-21.55,0.63,2.72


5.148277,-21.36,0.65,2.71


5.18789,-21.16,0.55,2.55


5.220662,-21.49,0.49,2.51


5.240888,-21.49,0.49,2.51


5.262691,-22.27,0.39,2.48


5.282284,-23.36,0.28,2.38


5.311642,-24.35,0.23,2.32


5.335272,-24.77,0.21,2.27


5.372187,-25.54,0.21,2.21


5.394447,-25.98,0.22,2.18


5.412491,-26.42,0.24,2.16


5.442943,-27.25,0.22,2.09


5.467541,-28.12,0.22,2.02


5.495463,-28.56,0.24,2.01


5.516061,-29.02,0.24,2.02


5.543302,-30,0.19,2.04


5.579546,-31.17,0.19,2.11


5.600302,-31.61,0.24,2.13


5.62346,-31.61,0.24,2.13


5.657324,-31.76,0.24,2.15


5.683217,-32.04,0.25,2.15


5.706198,-32.1,0.3,2.2


5.731746,-32.28,0.32,2.21


5.753551,-32.51,0.32,2.23


5.799035,-32.57,0.31,2.23


5.825009,-32.78,0.29,2.26


5.854051,-33.02,0.3,2.31


5.875552,-33.28,0.31,2.32


5.900646,-33.28,0.31,2.32


5.922163,-33.59,0.33,2.34


5.948176,-33.72,0.34,2.36


5.972564,-33.91,0.3,2.42


6.017631,-34.03,0.3,2.46


6.037725,-34.13,0.3,2.5


6.065994,-34.13,0.29,2.49


6.088272,-34.09,0.29,2.51


6.106658,-34.09,0.29,2.51


6.136931,-34.01,0.31,2.54


6.173833,-33.89,0.34,2.56


6.22412,-33.82,0.35,2.56


6.244323,-33.75,0.38,2.57


6.2663,-33.73,0.36,2.57


6.294712,-33.57,0.4,2.6


6.322345,-33.27,0.38,2.61

