delta time, euler x , euler y , euler z
0.01999999,0,0,0


0.03999998,0.07,-2.84,3.89


0.207947,0.24,-2.87,3.94


0.3078451,0.36,-2.91,3.97


0.3415704,0.41,-2.89,4


0.3756562,0.44,-2.9,4


0.4194032,0.53,-2.98,4.02


0.4738277,0.59,-3.05,4.02


0.5022988,0.6,-3.05,4.02


0.5308529,0.63,-3.03,4.03


0.5583025,0.6,-3.06,4


0.5904269,0.55,-3.08,3.98


0.6259348,0.57,-3.08,3.99


0.685737,0.55,-3.14,4


0.7103766,0.54,-3.15,3.99


0.7414513,0.48,-3.14,3.98


0.7766228,0.4,-3.15,3.96


0.8014472,0.33,-3.17,3.94


0.8328109,0.14,-3.21,3.91


0.8859637,-0.1,-3.25,3.9


0.9124898,-0.61,-3.28,3.9


0.9431425,-1.21,-3.33,4.01


0.9745927,-1.62,-3.4,4.11


1.007855,-6.53,-4.42,4.92


1.031947,-6.53,-4.42,4.92


1.074055,-13.57,-5.57,5.84


1.126579,-15.43,-5.75,5.99


1.162948,-21.17,-6,6.7


1.188545,-23.88,-6.08,7.19


1.219443,-23.88,-6.08,7.19


1.245793,-26.41,-6,7.4


1.272984,-26.41,-6,7.4


1.319724,-29.99,-5.65,7.82


1.346218,-30.59,-5.47,7.83


1.373861,-30.64,-5.39,7.82


1.406653,-30.77,-5.22,7.68


1.433983,-30.84,-4.98,7.64


1.464465,-30.91,-4.84,7.54


1.496434,-30.98,-4.68,7.5


1.552364,-31.59,-4.39,7.44


1.580507,-32.6,-4.18,7.45


1.609595,-34.16,-3.99,7.43


1.652138,-36.01,-3.77,7.52


1.689958,-37.05,-3.66,7.61


1.722746,-39.41,-3.42,7.95


1.778698,-43.07,-2.99,8.6


1.808035,-44.95,-2.74,8.64


1.838628,-47.15,-2.61,8.63


1.872125,-48.2,-2.47,8.6


1.904995,-50.07,-2.09,8.65


1.939964,-55.09,-1.46,8.69


1.992437,-56.27,-1.34,8.66


2.022299,-58.08,-1.12,8.59


2.055244,-59.75,-1.54,8.66


2.085645,-61.65,-1.29,8.7


2.114048,-62.95,-1.34,9


2.162933,-64.58,-0.95,9.2


2.223555,-66.2,-1.36,9.23


2.253624,-67.07,-1.1,9.2


2.280113,-67.46,-0.99,9.21


2.304621,-68.29,-0.91,9.15


2.325658,-68.29,-0.91,9.15


2.354514,-68.85,-0.97,9.1


2.378964,-69.4,-0.68,9.11


2.433016,-70.42,-0.08,9.35


2.455899,-70.65,0.04,9.4


2.480256,-70.65,0.22,9.55


2.506562,-70.65,0.22,9.55


2.532386,-69.87,0.33,9.7


2.557124,-66.4,0.11,10.14


