delta time, euler x , euler y , euler z
Min x, Max x, Min y, Max y, Min z, Max z
0.01999999,0,0,0


0.03999998,-10.37,7.08,4.16


0.1200536,-9.02,7.31,3.5


0.2182286,-6.28,7,3.63


0.2326926,-6.28,7,3.63


0.280802,-5.36,7.03,3.71


0.2999016,-4.78,7.08,3.7


0.316951,-4.78,7.08,3.7


0.3325033,-4.24,7.17,3.63


0.3533592,-4.03,7.23,3.6


0.3756106,-3.84,7.27,3.59


0.3972427,-3.67,7.35,3.58


0.4099463,-3.67,7.35,3.58


0.4242588,-3.41,7.45,3.54


0.4408948,-3.41,7.45,3.54


0.462737,-3.39,7.53,3.56


0.4761432,-3.38,7.5,3.57


0.4932097,-3.38,7.5,3.57


0.5112457,-3.28,7.39,3.66


0.5235252,-3.28,7.39,3.66


0.536157,-3.28,7.39,3.66


0.5554251,-3.28,7.39,3.66


0.5692389,-3.2,7.35,3.75


0.5849655,-3.2,7.35,3.75


0.6019312,-3.27,7.38,3.85


0.6207577,-3.27,7.38,3.85


0.6376619,-3.22,7.39,3.91


0.6520005,-3.22,7.39,3.91


0.671922,-3.23,7.4,3.91


0.6884524,-3.17,7.4,3.89


0.7047628,-3.17,7.4,3.89


0.7223058,-3.02,7.39,3.84


0.7379749,-3.02,7.39,3.84


0.7599345,-2.96,7.35,3.88


0.7724211,-2.97,7.33,3.86


0.7891406,-3.03,7.29,3.87


0.8015623,-3.03,7.29,3.87


0.8241577,-3.54,7.2,3.97


0.8394242,-4.04,7.14,4


0.8555048,-4.04,7.14,4


0.8695795,-5.77,6.81,4.36


0.8883715,-5.77,6.81,4.36


0.9070526,-8.8,6.2,5.17


0.9224915,-8.8,6.2,5.17


0.9412238,-12.99,5.71,5.88


0.9560239,-15.55,5.51,6.12


0.9718318,-15.55,5.51,6.12


0.9884825,-20.85,5.05,6.03


1.002867,-20.85,5.05,6.03


1.023664,-26.93,3.69,5.73


1.045314,-33.06,2.93,5.58


1.06016,-33.06,2.93,5.58


1.08203,-38.63,2.82,5.37


1.105803,-43.63,2.63,5.53


1.128116,-43.63,2.63,5.53


1.143227,-45.57,2.64,5.63


1.162397,-45.57,2.64,5.63


1.176631,-48.33,2.75,5.96


1.193964,-48.33,2.75,5.96


1.213057,-50.6,2.99,6.26


1.233401,-51.86,3.09,6.69


1.245053,-51.86,3.09,6.69


1.261194,-52.01,3.09,6.7


1.281121,-52.01,3.09,6.7


