delta time, euler x , euler y , euler z
Min x, Max x, Min y, Max y, Min z, Max z
0.01999999,-0.91,0.7,3.29


0.03999998,-1.3,1.44,3.44


0.1154345,-1.29,1.56,3.47


0.204336,-1.57,1.51,3.56


0.2213951,-1.57,1.51,3.56


0.2811625,-1.86,1.41,3.59


0.2999157,-2.09,1.31,3.64


0.3169167,-2.17,1.28,3.65


0.3391732,-2.23,1.23,3.68


0.3565111,-2.35,1.18,3.67


0.3730296,-2.35,1.18,3.67


0.3898313,-2.41,1.12,3.67


0.4061027,-2.41,1.12,3.67


0.4290432,-2.51,1.08,3.7


0.4499109,-2.51,1.07,3.71


0.4623177,-2.51,1.07,3.71


0.4784172,-2.57,1.09,3.73


0.4960762,-2.57,1.09,3.73


0.5107923,-2.6,1.1,3.75


0.5309853,-2.62,1.09,3.77


0.5441724,-2.62,1.09,3.77


0.5567123,-2.63,1.09,3.79


0.5689925,-2.66,1.1,3.82


0.5851181,-2.66,1.1,3.82


0.6019392,-2.66,1.11,3.86


0.6219728,-2.65,1.12,3.89


0.6376706,-2.65,1.12,3.89


0.6561477,-2.7,1.08,3.9


0.6683025,-2.7,1.08,3.9


0.6861317,-2.72,1.08,3.9


0.7033333,-2.72,1.08,3.9


0.7197493,-2.76,1.07,3.88


0.7373561,-2.76,1.07,3.88


0.753552,-2.8,1.05,3.88


0.771055,-2.86,1.02,3.88


0.7856308,-2.86,1.02,3.88


0.8065259,-2.99,1,3.89


0.8224226,-2.99,1,3.89


0.8404738,-3.08,0.99,3.91


0.855793,-3.08,0.99,3.91


0.8721426,-3.32,0.94,3.93


0.8937034,-3.96,0.85,3.99


0.9125815,-3.96,0.85,3.99


0.9281819,-4.71,0.69,4.03


0.9469588,-5.4,0.58,4.05


0.9608865,-6.44,0.34,4.1


0.9794208,-7.85,0.14,4.05


0.9961714,-7.85,0.14,4.05


1.013673,-10.04,-0.17,4.13


1.027677,-10.04,-0.17,4.13


1.052519,-10.04,-0.17,4.13


1.065473,-10.04,-0.17,4.13


1.094666,-11.33,-0.26,4.22


1.120261,-12.24,-0.32,4.3


1.135004,-12.45,-0.35,4.34


1.148787,-12.45,-0.35,4.34


1.167135,-13.03,-0.37,4.41


1.180858,-13.03,-0.37,4.41


1.201543,-14.12,-0.4,4.44


1.215212,-14.12,-0.4,4.44


1.231619,-15.23,-0.39,4.46


1.25359,-16.43,-0.35,4.45


1.266229,-16.43,-0.35,4.45


1.286641,-16.92,-0.3,4.44


1.303749,-16.92,-0.3,4.44


1.318358,-17.87,-0.18,4.32


1.335486,-17.87,-0.18,4.32


1.356848,-19.64,-0.01,4.06


1.372159,-22.19,0.08,3.7


1.392719,-22.19,0.08,3.7


1.408418,-25.4,0.28,3.12


1.427478,-25.4,0.28,3.12


1.446593,-27.18,0.37,2.82


1.470244,-30.64,0.41,2.41


1.481688,-30.64,0.41,2.41


1.499826,-30.64,0.41,2.41


1.519266,-34.02,0.49,2.08


1.536672,-35.61,0.48,1.98


1.554688,-38.41,0.4,1.81


1.568769,-38.41,0.4,1.81


1.589717,-40.75,0.24,1.71


1.603892,-40.75,0.24,1.71


1.622261,-41.67,0.15,1.71


1.643174,-43.49,-0.09,1.79


1.661525,-43.49,-0.09,1.79


1.681699,-43.96,-0.17,1.81


1.695383,-43.96,-0.17,1.81


1.712523,-44.71,-0.28,1.82


1.731482,-44.71,-0.34,2


1.745972,-44.71,-0.34,2


1.762053,-44.82,-0.42,2.03


1.781298,-44.82,-0.42,2.03


1.797823,-45.17,-0.5,1.95


1.811547,-45.17,-0.5,1.95


1.833596,-45.14,-0.64,2.08


1.846766,-45,-0.71,2.17


1.862067,-44.93,-0.8,2.25


1.882331,-44.98,-0.91,2.31


1.896454,-44.98,-0.91,2.31


1.916797,-44.95,-1.18,2.44


1.929668,-44.95,-1.18,2.44


1.943145,-44.7,-1.68,2.66


1.957792,-44.7,-1.68,2.66


1.982928,-44.4,-2.27,2.88


2.000062,-44.04,-3,3.13


2.012875,-44.04,-3,3.13


2.03075,-43.77,-3.45,3.27


2.05497,-43.77,-3.45,3.27


2.076133,-43.44,-4.23,3.49


2.089181,-43.48,-4.88,3.59


2.114123,-43.48,-4.88,3.59


2.134214,-43.66,-5.32,3.73


2.146835,-43.74,-5.45,3.79


2.163327,-43.87,-5.55,3.85


2.196648,-44.12,-5.64,3.87


2.220175,-44.85,-5.71,3.84


2.238955,-45.24,-5.71,3.84


2.253122,-45.53,-5.73,3.88


2.276866,-46.34,-5.7,3.72


2.298925,-47.34,-5.63,3.57


2.317757,-47.34,-5.63,3.57


2.331308,-47.75,-5.62,3.53


2.350191,-47.75,-5.62,3.53


2.369946,-48.49,-5.63,3.53


2.38417,-48.49,-5.63,3.53


2.406629,-49.42,-5.69,3.56


2.430406,-50.29,-5.77,3.54


2.453443,-51.1,-5.89,3.56


2.472919,-51.1,-5.89,3.56


2.487414,-51.48,-5.96,3.55


2.510108,-52.17,-6.14,3.53


2.529556,-52.17,-6.14,3.53


2.548514,-52.73,-6.35,3.53


2.567294,-52.73,-6.35,3.53


2.585741,-53.54,-6.55,3.54


2.60619,-54.38,-6.79,3.65


2.626093,-54.38,-6.79,3.65


2.647068,-54.68,-6.94,3.78


2.66452,-54.98,-7.32,4.19


2.682158,-54.98,-7.32,4.19


2.700938,-55.13,-7.81,4.62


2.714322,-55.13,-7.81,4.62


2.738312,-55.37,-8.23,4.86


2.763919,-55.5,-8.52,5.03


2.78295,-55.61,-8.65,5.07


2.805468,-55.61,-8.65,5.07


2.820605,-55.95,-8.77,5.05


2.845826,-56.5,-8.74,4.99


2.872057,-57.05,-8.65,4.95


2.893651,-57.05,-8.65,4.95


2.916951,-57.64,-8.57,4.93


2.93892,-57.97,-8.54,4.91


2.955048,-57.97,-8.54,4.91


2.979081,-58.59,-8.41,4.84


2.994714,-59.26,-8.22,4.72


3.012167,-59.26,-8.22,4.72


3.027691,-59.89,-8.03,4.56


3.049239,-60.18,-7.89,4.49


3.063823,-60.18,-7.89,4.49


3.07838,-60.2,-7.86,4.5


3.094982,-60.2,-7.86,4.5


3.123304,-60.03,-7.78,4.4


3.147665,-59.83,-7.65,4.27


3.162213,-59.83,-7.65,4.27


3.181296,-59.39,-7.5,4.12


3.201282,-58.69,-7.38,3.97


3.214436,-58.69,-7.38,3.97


3.226198,-58.17,-7.3,3.95


3.240201,-58.17,-7.3,3.95


3.26275,-56.57,-7.11,3.79


3.281532,-56.57,-7.11,3.79


3.296139,-54.64,-6.86,3.6


3.311478,-54.64,-6.86,3.6


3.331506,-52.46,-6.52,3.53


3.345984,-52.46,-6.52,3.53


3.36095,-49.81,-6.12,3.59


3.377893,-49.81,-6.12,3.59


3.393061,-48.01,-5.88,3.56


3.410015,-43.09,-5.24,3.62


3.42802,-43.09,-5.24,3.62


3.451701,-39.07,-4.73,3.84


3.46425,-39.07,-4.73,3.84


3.480685,-36.17,-4.49,3.98


3.497677,-35.22,-4.45,3.96


3.515362,-34.31,-4.43,3.94


3.530421,-33.32,-4.4,3.91


3.548779,-33.32,-4.4,3.91


3.563575,-32.3,-4.32,3.9


3.580881,-32.3,-4.32,3.9


3.598366,-29.41,-4.2,3.98


3.612023,-29.41,-4.2,3.98


3.627365,-28.18,-4.09,3.88


3.64497,-28.18,-4.09,3.88


3.663463,-27.05,-4.01,3.91


3.682639,-26.35,-3.99,3.9


3.696034,-26.35,-3.99,3.9


3.711795,-25.24,-3.98,3.88


3.726698,-25.24,-3.98,3.88


3.749553,-24.74,-4,3.83


3.783257,-23.79,-4,3.77


3.795104,-23.79,-4,3.77


3.807777,-22.42,-4.04,3.64


3.819046,-22.42,-4.04,3.64


3.835607,-21.67,-4.16,3.56


3.852308,-21.67,-4.16,3.56


3.867108,-20.85,-4.25,3.46


3.882956,-20.85,-4.25,3.46


3.901777,-18.76,-4.4,3.12


3.918124,-18.23,-4.46,3.02


3.938777,-17.67,-4.51,2.91


3.95865,-16.43,-4.69,2.62


3.980998,-15.73,-4.83,2.48


3.997145,-15.73,-4.83,2.48


4.012586,-14.47,-5.14,2.21


4.027317,-14.47,-5.14,2.21


4.046341,-13.41,-5.36,2


4.066783,-12.67,-5.67,1.9


4.089747,-12.67,-5.67,1.9


4.114497,-12.37,-5.71,1.79


4.129067,-12.19,-5.77,1.75


4.143324,-12.19,-5.77,1.75


4.163783,-11.48,-6,1.55


4.181662,-11.48,-6,1.55


4.198015,-10.03,-6.24,1.46


4.214872,-10.03,-6.24,1.46


4.229105,-8.63,-6.35,1.33


4.244408,-8.63,-6.35,1.33


4.265412,-7.09,-6.51,1.08


4.27913,-6.39,-6.6,0.97


4.29321,-6.39,-6.6,0.97


4.309595,-4.96,-6.85,0.71


4.327513,-4.96,-6.85,0.71


4.345178,-3.83,-7.06,0.26


4.366825,-3.55,-7.21,0.1


4.380807,-3.27,-7.27,-0.03


4.395674,-3.27,-7.27,-0.03


4.415596,-2.5,-7.12,-0.23


4.430899,-2.1,-7.02,-0.22


4.451262,-2.1,-7.02,-0.22


4.46866,-1.36,-6.88,-0.05


4.480789,-1.36,-6.88,-0.05


4.497368,-0.32,-6.4,0.65


4.515268,-0.32,-6.4,0.65


4.527577,0.55,-5.39,1.36


4.548289,1.24,-4.93,1.64


4.564359,1.24,-4.93,1.64


4.583361,1.52,-4.83,1.81


4.597722,1.52,-4.83,1.81


4.616736,2.21,-4.24,2.13


4.632482,2.21,-4.24,2.13


4.657545,3.38,-3.26,2.46


4.681335,4.86,-2.45,2.64


4.696303,4.86,-2.45,2.64


4.715601,5.24,-2,2.86


4.739076,5.06,-1.64,2.99


4.765486,4.36,-0.93,3.04


4.779765,4.36,-0.93,3.04


4.795605,2.78,-0.11,2.85


4.813962,2.78,-0.11,2.85


4.832381,1.01,0.79,2.7


4.846154,0.46,1.04,2.74


4.8615,0.11,1.14,2.78


4.878856,0.11,1.14,2.78


4.893281,-0.08,1.23,2.77


4.908022,-0.11,1.46,2.75


4.927317,0.04,1.84,2.71


4.944288,0.41,2.58,2.62


4.960623,0.41,2.58,2.62


4.97902,0.71,3.07,2.66


4.994824,0.71,3.07,2.66


5.013714,0.78,3.33,2.76


5.030247,0.82,3.46,2.86


5.049417,0.82,3.46,2.86


5.065388,1.26,3.78,3.05


5.082424,1.26,3.78,3.05


5.098856,1.67,4.07,3.24


5.117873,1.95,4.17,3.41


5.131591,1.95,4.17,3.41


5.145879,1.95,4.17,3.41


5.162573,2.19,4.1,3.49


5.184065,2.35,4.02,3.51


5.206864,2.52,3.95,3.53


5.23069,2.57,3.86,3.52


5.245099,2.57,3.68,3.53


5.257535,2.57,3.68,3.53


5.274639,2.37,3.25,3.59


5.29435,2.37,3.25,3.59


5.311071,2.37,2.84,3.55


5.322972,2.37,2.84,3.55


5.36364,2.74,2.19,3.44


5.379926,2.74,2.19,3.44


5.392658,3.02,1.76,3.35


5.41119,3.02,1.76,3.35


5.428243,3.11,1.36,3.21


5.450544,3.12,1.23,3.17


5.48413,3.09,1.1,3.11


5.49746,3.09,1.1,3.11


5.514528,3.03,0.96,3.03


5.532942,3.03,0.96,3.03


5.551254,2.89,0.83,3.02


5.567506,2.82,0.76,3.04


5.582663,2.8,0.76,3.03


5.598118,2.74,0.81,2.99


5.615887,2.74,0.81,2.99


5.631368,2.58,0.81,3


5.659714,2.35,0.81,2.99


5.697733,2.42,0.8,2.94


5.721154,2.39,0.73,2.86


5.74526,2.39,0.73,2.86


5.758121,2.43,0.76,2.74


5.771815,2.43,0.76,2.74


5.787652,2.45,0.74,2.68


5.804945,2.45,0.74,2.68


5.826303,2.48,0.72,2.57


5.843271,2.47,0.69,2.47


5.863755,2.47,0.69,2.47


5.890038,2.28,0.74,2.36


5.904245,1.93,0.79,2.21


5.919353,1.93,0.79,2.21


5.939638,1.72,0.83,2.17


5.95561,1.72,0.83,2.17


5.974155,1.02,0.87,2.15


5.993873,-0.38,0.99,2.18


6.010613,-0.38,0.99,2.18


6.028491,-1.98,1.23,2.26


6.042048,-1.98,1.23,2.26


6.065222,-4.16,1.31,2.52


6.089771,-5.33,1.33,2.62


6.101881,-5.33,1.33,2.62


6.117238,-7.47,1.36,3


6.131631,-7.47,1.36,3


6.152327,-9.62,1.35,3.29


6.166125,-10.75,1.4,3.38


6.184135,-11.85,1.46,3.41


6.212162,-13.4,1.49,3.48


6.237786,-13.4,1.49,3.48


6.255884,-13.4,1.49,3.48


6.265943,-13.6,1.44,3.54


6.296666,-15.13,1.49,3.48


6.306962,-15.13,1.49,3.48


6.324228,-18.32,1.38,3.42


6.338231,-18.32,1.38,3.42


6.360601,-18.89,1.38,3.5


6.379263,-20.76,1.28,3.63


6.39464,-20.76,1.28,3.63


6.417026,-21.66,1.3,3.62


6.433566,-21.66,1.3,3.62


6.452248,-21.38,1.42,3.6


6.469537,-20.9,1.51,3.54


6.496456,-18.27,1.65,3.32


6.506997,-15.14,1.79,2.93


6.521631,-15.14,1.79,2.93


6.540185,-10.6,2.11,2.32


6.561822,-2.41,3.1,1.43


6.581753,-2.41,3.1,1.43


6.598539,3.57,3.44,0.95


6.614498,3.57,3.44,0.95


6.635524,8.68,3.53,0.58


6.663928,12.7,3.84,0.3


6.68716,14.48,3.94,0.19


6.722049,17.71,3.98,0


6.733401,17.71,3.98,0


6.747595,20.64,4.06,-0.09


6.760414,20.64,4.06,-0.09


6.784337,23.04,4.31,-0.16


6.798225,23.04,4.31,-0.16


