delta time, euler x , euler y , euler z
Min x, Max x, Min y, Max y, Min z, Max z
0.01999999,0,0,0


0.03999998,-2.47,-4.68,2.2


0.161556,-1.87,-5.02,1.62


0.2757611,-1.94,-5.29,1.27


0.3044268,-2.08,-5.3,1.32


0.3257309,-2.08,-5.3,1.32


0.3485329,-2.09,-5.3,1.38


0.3754736,-2.13,-5.27,1.46


0.399177,-2.08,-5.2,1.5


0.4239891,-2.05,-5.19,1.52


0.4435375,-2.05,-5.19,1.52


0.4732566,-2.11,-5.19,1.56


0.4999712,-2.23,-5.24,1.6


0.5253692,-2.28,-5.22,1.6


0.5530336,-2.36,-5.33,1.57


0.5773,-2.38,-5.36,1.54


0.5961456,-2.38,-5.36,1.54


0.6298505,-1.81,-5.41,0.93


0.6512999,-1.81,-5.41,0.93


0.6732378,-1.12,-5.26,-0.11


0.6954776,-0.37,-5.18,-1.36


0.7180685,-0.37,-5.18,-1.36


0.7393938,-0.01,-5.35,-1.94


0.757493,0.39,-6.12,-2.98


0.7778429,0.39,-6.12,-2.98


0.7997512,0.52,-7.51,-3.67


0.8231362,0.46,-8.94,-3.86


0.8360782,0.46,-8.94,-3.86


0.8594271,-0.04,-9.58,-3.66


0.8824314,-0.25,-9.69,-3.7


0.9072801,-0.69,-9.62,-3.59


0.9268777,-0.69,-9.62,-3.59


0.9395346,-1.01,-9.37,-3.51


0.9605106,-1.01,-9.37,-3.51


0.9823253,-1.08,-9.19,-3.45


1.006826,-1.09,-9.18,-3.31


1.021081,-1.11,-9.25,-3.23


1.063615,-1.12,-9.26,-3.19


1.085445,-1.12,-9.26,-3.19


1.111148,-1.21,-9.26,-3.24


1.128761,-1.21,-9.26,-3.24


1.153758,-1.22,-9.58,-3.38


1.184354,-1.23,-9.7,-3.49


1.219247,-1.26,-9.81,-3.56


1.241131,-1.28,-10.56,-3.6


1.259718,-1.28,-10.56,-3.6


1.278607,-1.22,-11.52,-3.68


1.299105,-1.19,-12.69,-3.5


1.323875,-1.24,-13.33,-3.38


1.341562,-1.24,-13.33,-3.38


1.357491,-1.34,-14.69,-3.29


1.377213,-1.34,-14.69,-3.29


1.401755,-1.43,-16.48,-3.01


1.425518,-1.26,-18.35,-2.93


1.43917,-1.26,-18.35,-2.93


1.455937,-1.28,-20.19,-2.94


1.479323,-1.39,-21.25,-2.84


1.503183,-1.51,-22.35,-2.75


1.525349,-1.63,-23.4,-2.75


1.538771,-1.75,-25.46,-2.81

