delta time, euler x , euler y , euler z
0.01999999,-0.37,0.02,12.72


0.03999998,-0.46,-0.55,12.19


0.1407752,-0.6,-0.47,14.4


0.2641349,-0.79,-0.38,18.93


0.2794412,-0.79,-0.38,18.93


0.3132929,-0.77,-0.39,19.38


0.3640359,-0.58,-0.46,19.5


0.4057381,-0.4,-0.35,16.81


0.4294838,-0.3,-0.37,14.72


0.4476754,-0.53,-0.57,13.68


0.4704368,-0.53,-0.57,13.68


0.4954399,-0.37,-0.45,12.2


0.5213455,-0.29,-0.47,11.23


0.5473131,-0.55,-0.34,10.37


0.5709949,-0.52,-0.36,9.36


0.6068654,-0.48,-0.39,9.16


0.6282286,-0.16,-0.38,9.12


0.6516971,-0.16,-0.38,9.12


0.6765651,0.04,-0.41,8.91


0.697625,-0.09,-0.36,8.83


0.7208999,-0.09,-0.35,8.82


0.7437865,-0.09,-0.35,8.82


0.7639242,-0.09,-0.34,8.84


0.7850369,-0.11,-0.32,8.85


0.8166841,-0.33,-0.39,9.17


0.8352759,-0.45,-0.37,9.33


0.8523241,-0.46,-0.35,9.16


0.8723534,-0.43,-0.21,10.05


0.8989669,-0.29,-0.17,10.12


0.9220791,-0.3,-0.16,9.95


0.9445606,-0.23,-0.21,9.9


0.9686834,-0.23,-0.19,9.14


0.9927971,0.02,-0.52,8.99


1.024938,0.5,-2.24,9.95


1.05997,0.99,-3.57,10.43


1.080642,1.12,-4.09,10.07


1.102606,1.12,-4.09,10.07


1.12792,2.43,-4.36,9.57


1.161395,3.87,-3.54,7.96


1.179362,4.72,-2.83,7.34


1.198,4.72,-2.83,7.34


1.233054,6.15,-1.12,5.58


1.251944,6.15,-1.12,5.58


1.269848,6.28,-0.42,4.73


1.292157,6.01,-0.79,3.86


1.318554,5.47,-0.22,3.4


1.333874,5.47,-0.22,3.4


1.355326,4.45,-0.22,2.69


1.377394,3.76,-0.15,2.54


1.400927,3.76,-0.15,2.54


1.433524,0.57,-0.27,2.85


1.45181,0.57,-0.27,2.85


1.473127,-1.27,-0.48,3.18


1.501706,-1.27,-0.48,3.18


1.525583,-2.18,-0.68,3.32


1.549836,-3.07,-0.86,3.45


1.574842,-3.07,-0.86,3.45


1.596131,-5.56,-2.02,3.39


1.617661,-8.26,-3.91,3.38


1.65546,-11.43,-5.81,3.43


1.679324,-12.67,-6.7,3.39


1.706279,-15.52,-8.55,3.58


1.719424,-15.52,-8.55,3.58


1.735548,-18.02,-10.03,4.29


1.762692,-20.08,-11.1,5.4


1.788276,-20.08,-11.1,5.4


1.812675,-20.9,-10.91,5.59


1.836578,-22.03,-9.9,5.57


1.876681,-22.43,-8.11,5.01


1.892973,-21.59,-6.18,3.99


1.916417,-20.39,-4.94,2.86


1.93838,-20.39,-4.94,2.86


1.962613,-19.34,-4.13,2.38


1.984466,-18.53,-3.44,2.22


2.003377,-18.53,-3.44,2.22


2.031221,-15.46,-1.94,1.69


2.056008,-14.57,-1.71,1.69


2.094502,-11.6,-0.98,1.89


2.127023,-9.45,0.3,1.59


2.154143,-6.86,1.29,1.37


2.179044,-6.86,1.29,1.37


2.204257,-4.76,1.87,1.39


2.225752,-2.87,1.9,1.39


2.241904,-2.87,1.9,1.39


