delta time, euler x , euler y , euler z
Min x, Max x, Min y, Max y, Min z, Max z
0.01999999,0,0,0


0.03999998,1.68,1.09,-4.41


0.3241138,1.56,-0.99,-4.12


0.5116311,1.96,0.28,-4.42


0.6456524,1.79,0.94,-4.45


0.7850178,1.38,1.71,-4.5


0.9096006,1.67,1.34,-4.58


1.037699,-0.35,1.39,-4.31


1.174035,-1.22,0.77,-3.5


1.307018,-0.9,-0.07,-2.48


1.462569,-1.14,0.14,-2.54


1.617637,-1.47,-0.55,-2.48


1.739196,-1.47,-0.87,-2.68


1.863969,-0.44,-1.18,-3.26


1.996377,-0.59,-1.46,-3.13


2.091672,-0.65,-1.5,-3.12


2.398513,-0.46,-1.88,-3.1


2.561636,-0.41,-2.08,-3.09


2.73385,-0.42,-2.17,-3.06


2.871417,-0.24,-2.33,-3.02


3.003946,-0.13,-2.54,-2.97


3.140934,-0.1,-2.6,-2.94


3.279328,-0.13,-2.62,-2.89


3.454743,-0.24,-2.64,-2.9


3.648265,-0.27,-2.62,-2.86


3.783273,-0.34,-2.62,-2.87


3.917274,-0.43,-2.65,-2.82


4.041653,-0.42,-2.66,-2.83


4.17841,-0.41,-2.65,-2.82


4.373932,-0.41,-2.67,-2.82


4.560427,-0.39,-2.7,-2.81


4.691612,-0.45,-2.68,-2.8


4.825601,-0.28,-2.8,-2.83


4.943912,-0.27,-2.8,-2.85


5.069323,-0.24,-2.81,-2.89


5.192215,-0.3,-2.77,-2.83


5.315706,-0.34,-2.74,-2.86


5.491162,-0.23,-2.7,-2.91


5.646353,-0.17,-2.65,-2.96


5.754314,-0.19,-2.61,-2.97


5.878835,-0.22,-2.59,-2.99


5.994706,-0.26,-2.6,-2.97


6.123577,-0.46,-2.57,-2.94


6.258079,-1.46,-2.56,-2.54


6.361598,-4.05,-2.73,-1.7


6.52241,-6.13,-2.9,-1.11


6.679581,-6.65,-2.98,-1.05


6.789595,-6.61,-3,-1.08


6.900565,-6.71,-3.06,-1.04


7.003875,-6.87,-3.11,-1.01


7.10712,-6.86,-3.27,-0.9


7.215565,-6.81,-3.35,-0.88


7.322192,-6.55,-3.44,-0.95


7.478645,-5.61,-3.66,-1.25


7.644021,-4.42,-3.96,-1.65


7.746304,-3.54,-4.22,-1.93


7.851364,-2.14,-4.56,-2.34


7.959402,-0.15,-4.89,-2.9


8.081244,5.38,-5.3,-4.02


8.202401,8.95,-5.25,-4.64


8.329153,9.23,-4.42,-4.54


8.499448,7.69,-3.28,-4.08


8.678011,6.59,-2.5,-3.68


8.797525,7.03,-2.47,-3.79


8.917457,6.94,-2.44,-3.82


9.025066,5.16,-2.31,-3.54


9.147271,3.18,-2.35,-3.1


9.327991,-0.53,-2.45,-2.04


9.50407,-3.26,-2.62,-1.33


9.617503,-3.64,-2.68,-1.21


9.73377,-3.86,-2.77,-1.15


9.84521,-4.01,-2.82,-1.1


9.954889,-4.58,-2.83,-0.93


10.067,-3.54,-2.85,-1.27


10.18506,-1.82,-2.64,-1.59


10.33987,9.12,-0.56,1.36


10.48627,25.91,-1.29,7.16


10.61265,26.91,4.39,4.91


10.74172,18.04,6.98,-3.68


10.88425,-0.53,0.18,-4.83


11.02185,-2.21,-2.49,-5.26


11.14666,-2.34,-2.69,-4.53


11.32397,-2.6,-3.5,-4.49


11.51939,-2.57,-3.69,-4.48


11.64111,-2.54,-3.74,-4.48


11.76144,-2.51,-3.78,-4.48


11.8834,-1.96,-3.17,-0.25


11.99858,-2.82,-3.46,-2.58


12.11758,-2.84,-3.74,-2.89


12.22905,-2.74,-3.88,-3.21


12.38865,-2.9,-4.26,-2.93


12.544,-2.69,-5.23,-7.82


12.65038,-3.5,-5.49,-7.41


12.755,-3.45,-5.31,-7.33


12.89361,-3.63,-5.17,-8.21


13.09758,-3.73,-4.93,-8.1


13.24121,-3.82,-4.8,-7.5


13.3955,-3.84,-4.84,-7.47


13.51604,-3.83,-4.86,-7.47


13.60525,-3.82,-4.79,-7.44


13.64846,-3.8,-4.75,-7.36


13.6728,-3.82,-4.77,-7.24


13.6984,-3.82,-4.77,-7.24


13.72991,-3.83,-4.74,-7.11


