delta time, euler x , euler y , euler z
Min x, Max x, Min y, Max y, Min z, Max z
0.01999999,0,0,0


0.03999998,-0.38,-0.47,-5.6


0.1868473,-0.38,-0.46,-5.6


0.2651313,-0.38,-0.47,-5.6


0.2940034,-0.38,-0.47,-5.6


0.3179587,-0.38,-0.47,-5.6


0.3453009,-0.38,-0.47,-5.6


0.3695736,-0.38,-0.47,-5.6


0.3965804,-0.39,-0.46,-5.6


0.4217967,-0.39,-0.46,-5.6


0.4489697,-0.39,-0.46,-5.6


0.4767782,-0.39,-0.46,-5.6


0.5024534,-0.39,-0.46,-5.6


0.5313774,-0.39,-0.46,-5.6


0.5596158,-0.39,-0.46,-5.6


0.5857862,-0.37,-0.47,-5.59


0.6150808,-0.35,-0.46,-5.04


0.6454825,-0.46,-0.34,-3.95


0.6738205,-0.47,-0.22,-3.33


0.700025,-0.45,-0.14,-2.8


0.7283782,-0.62,-0.16,-2.04


0.7556601,-0.78,-0.19,-1.64


0.7841681,-1.16,-0.27,-0.9


0.8140225,-1.35,-0.33,-0.49


0.8421842,-1.93,-0.41,0.36


0.870854,-2.19,-0.41,0.55


0.9005733,-2.34,-0.4,0.56


0.9291272,-2.58,-0.41,0.61


0.9535717,-3.06,-0.41,0.71


0.9895316,-3.69,-0.42,0.66


1.016509,-3.94,-0.42,0.61


1.048316,-4.36,-0.42,0.49


1.084227,-4.97,-0.44,0.33


1.116552,-5.62,-0.43,0.28


1.146795,-6.41,-0.4,0.27


1.178589,-7.49,-0.37,0.26


1.222627,-8.2,-0.38,0.26


1.262129,-12.18,-0.35,-0.84


1.287473,-15.32,-0.41,-1.58


1.308611,-15.32,-0.41,-1.58


1.333139,-17.12,-0.43,-1.9


1.35721,-17.8,-0.42,-2.09


1.379534,-18.75,-0.29,-2.56


1.400304,-18.75,-0.29,-2.56


1.427933,-19.35,-0.29,-2.68


1.450746,-19.84,-0.31,-2.7


1.479793,-20.3,-0.33,-2.63


1.502804,-20.6,-0.36,-2.54


1.525933,-20.86,-0.36,-2.5


1.548933,-21.08,-0.36,-2.49


1.574943,-21.46,-0.39,-2.42


1.59856,-21.67,-0.46,-2.27


1.620908,-21.92,-0.53,-2.06


1.649695,-22.08,-0.54,-2.03


1.67388,-22.29,-0.56,-1.98


1.697309,-22.52,-0.57,-1.94


1.722952,-23,-0.64,-1.81


1.748835,-23.54,-0.66,-1.64


1.777261,-24.25,-0.58,-1.6


