Elapsed Time (secs) , euler x , euler y , euler z , quat x , quat y , quat z , quat w
0.01999999,0,0,0,0,0,0,1


0.01999999,0,0,0,0,0,0,1


0.1121142,0,0,0,0,0,0,1


0.1096915,0,0,0,0,0,0,1


0.0300941,0,0,0,0,0,0,1


0.0332646,0,0,0,0,0,0,1


0.0318603,0,0,0,0,0,0,1


0.0285489,0,0,0,0,0,0,1


0.04227039,0,0,0,0,0,0,1


0.0386629,0,0,0,0,0,0,1


0.0698528,0,0,0,0,0,0,1


0.0324853,0,0,0,0,0,0,1


0.06320029,0,0,0,0,0,0,1


0.02936,0,0,0,0,0,0,1


0.0295619,0,0,0,0,0,0,1


0.0258345,0,0,0,0,0,0,1


0.0287387,0,0,0,0,0,0,1


0.0292843,0,0,0,0,0,0,1


0.05536029,0,0,0,0,0,0,1


0.02556461,0,0,0,0,0,0,1


0.0232224,0,0,0,0,0,0,1


0.0271356,0,0,0,0,0,0,1


0.0234006,0,0,0,0,0,0,1


0.02748061,0,0,0,0,0,0,1


0.0235189,0,0,0,0,0,0,1


0.0317285,0,0,0,0,0,0,1


0.0246539,0,0,0,0,0,0,1


0.0327819,0,0,0,0,0,0,1


0.0262085,0,0,0,0,0,0,1


0.0310983,0,0,0,0,0,0,1


0.027956,0,0,0,0,0,0,1


0.0244583,0,0,0,0,0,0,1


0.0554342,0,0,0,0,0,0,1


0.0513964,0,0,0,0,0,0,1


0.0295117,0,0,0,0,0,0,1


0.0398565,0,0,0,0,0,0,1


0.0344317,0,0,0,0,0,0,1


0.03596859,0,0,0,0,0,0,1


0.0375261,0,0,0,0,0,0,1


0.0422977,0,0,0,0,0,0,1


0.0457709,0,0,0,0,0,0,1


0.0348507,0,0,0,0,0,0,1


0.0417211,0,0,0,0,0,0,1


0.0328508,0,0,0,0,0,0,1


0.033591,0,0,0,0,0,0,1


0.0355765,0,0,0,0,0,0,1


0.0343504,0,0,0,0,0,0,1


0.037326,0,0,0,0,0,0,1


0.0449405,0,0,0,0,0,0,1


0.0450807,0,0,0,0,0,0,1


0.04837549,0,0,0,0,0,0,1


0.0503975,0,0,0,0,0,0,1


0.0455585,0,0,0,0,0,0,1


0.0525865,0,0,0,0,0,0,1


0.056785,0,0,0,0,0,0,1


0.0483167,0,0,0,0,0,0,1


0.07284,0,0,0,0,0,0,1


0.1078476,0,0,0,0,0,0,1


0.0469307,0,0,0,0,0,0,1


0.0332877,0,0,0,0,0,0,1


0.0348887,0,0,0,0,0,0,1


0.0303879,0,0,0,0,0,0,1


0.0261064,0,0,0,0,0,0,1


0.03182431,0,0,0,0,0,0,1


0.02889089,0,0,0,0,0,0,1


0.0284695,0,0,0,0,0,0,1


0.0320392,0,0,0,0,0,0,1


0.0518317,0,0,0,0,0,0,1


0.0689293,0,0,0,0,0,0,1


0.0240001,0,0,0,0,0,0,1


0.0271303,0,0,0,0,0,0,1


0.0209321,0,0,0,0,0,0,1


0.024153,0,0,0,0,0,0,1


0.0218213,0,0,0,0,0,0,1


0.0221421,0,0,0,0,0,0,1


0.0215006,0,0,0,0,0,0,1


0.0231775,0,0,0,0,0,0,1


0.0198489,0,0,0,0,0,0,1


0.0213515,0,0,0,0,0,0,1


0.0217715,0,0,0,0,0,0,1


0.0401852,0,0,0,0,0,0,1


0.0213197,0,0,0,0,0,0,1


0.0189373,0,0,0,0,0,0,1


0.0220751,0,0,0,0,0,0,1


0.0290901,0,0,0,0,0,0,1


0.0288713,0,0,0,0,0,0,1


0.0500661,0,0,0,0,0,0,1


0.0461138,0,0,0,0,0,0,1


0.0222119,0,0,0,0,0,0,1


0.0277305,0,0,0,0,0,0,1


0.0254354,0,0,0,0,0,0,1


0.022859,0,0,0,0,0,0,1


0.0212335,0,0,0,0,0,0,1


0.0208814,0,0,0,0,0,0,1


0.0213312,0,0,0,0,0,0,1


0.0215759,0,0,0,0,0,0,1


0.0213293,0,0,0,0,0,0,1


0.0210643,0,0,0,0,0,0,1


0.020679,0,0,0,0,0,0,1


0.0195019,0,0,0,0,0,0,1


0.0228547,0,0,0,0,0,0,1


0.0205728,0,0,0,0,0,0,1


0.0235951,0,0,0,0,0,0,1


0.0215992,0,0,0,0,0,0,1


0.0205609,0,0,0,0,0,0,1


0.02114671,0,0,0,0,0,0,1


0.0186127,0,0,0,0,0,0,1


0.0214457,0,0,0,0,0,0,1


0.0263762,0,0,0,0,0,0,1


0.0199792,0,0,0,0,0,0,1


0.0216129,0,0,0,0,0,0,1


0.0204136,0,0,0,0,0,0,1


0.0205646,0,0,0,0,0,0,1


0.020461,0,0,0,0,0,0,1


0.020795,0,0,0,0,0,0,1


0.0197003,0,0,0,0,0,0,1


0.020065,0,0,0,0,0,0,1


0.0195831,0,0,0,0,0,0,1


0.0207976,0,0,0,0,0,0,1


0.021347,0,0,0,0,0,0,1


0.019761,0,0,0,0,0,0,1


0.02037,0,0,0,0,0,0,1


0.0205716,0,0,0,0,0,0,1


0.0227966,0,0,0,0,0,0,1


0.0199363,0,0,0,0,0,0,1


0.0243796,0,0,0,0,0,0,1


0.0207416,0,0,0,0,0,0,1


0.02061679,0,0,0,0,0,0,1


0.0207436,0,0,0,0,0,0,1


0.0261139,0,0,0,0,0,0,1


0.0475092,0,0,0,0,0,0,1


0.0448627,0,0,0,0,0,0,1


