delta time, euler x , euler y , euler z
Min x, Max x, Min y, Max y, Min z, Max z
0.01999999,0,0,0


0.03999998,0.3,-4.57,-0.03


0.1296829,0.46,-4.55,-0.08


0.2232406,0.81,-4.5,-0.15


0.2445925,0.86,-4.46,-0.17


0.2694355,0.91,-4.43,-0.19


0.2868652,0.95,-4.4,-0.2


0.3075203,0.97,-4.36,-0.18


0.3279154,0.97,-4.36,-0.18


0.3526422,1.04,-4.33,-0.19


0.3731465,1.04,-4.26,-0.18


0.388392,1.04,-4.26,-0.18


0.412853,1.08,-4.23,-0.19


0.4356475,1.13,-4.2,-0.2


0.4542387,1.13,-4.13,-0.19


0.471282,1.13,-4.13,-0.19


0.4964419,1.1,-4.06,-0.19


0.5176779,1.09,-4.04,-0.2


0.541442,1.1,-4.02,-0.2


0.5567029,1.1,-4.02,-0.2


0.5809529,1.2,-4,-0.25


0.6030941,1.22,-4,-0.3


0.6212083,1.22,-4,-0.3


0.6386918,1.17,-4.01,-0.3


0.6586177,1.17,-4.01,-0.3


0.6797143,0.93,-4.02,-0.29


0.6992723,0.93,-4.02,-0.29


0.7249698,-0.16,-3.81,-0.4


0.7435413,-0.16,-3.81,-0.4


0.7657854,-1.13,-3.52,-0.52


0.7876115,-2.23,-3.32,-0.58


0.805604,-2.23,-3.32,-0.58


0.8201332,-3.32,-3.04,-0.66


0.8465734,-3.8,-2.91,-0.65


0.8671087,-3.8,-2.91,-0.65


0.886426,-4.76,-2.76,-0.52


0.9064132,-5.75,-2.83,-0.34


0.9182695,-5.75,-2.83,-0.34


0.9449807,-6.41,-2.81,-0.24


0.9635158,-6.41,-2.81,-0.24


0.986991,-6.41,-2.81,-0.24


1.004916,-9.31,-2.62,0.22


1.023961,-11.21,-2.63,0.68


1.054803,-12.66,-2.92,1


1.076109,-12.66,-2.92,1


1.091422,-13.88,-3.63,1.37


1.118483,-15.07,-4.19,1.83


1.153354,-15.59,-4.21,1.98


1.185348,-16.44,-4.25,2.19


1.207927,-17.05,-4.33,2.3


1.225712,-17.05,-4.33,2.3


1.251169,-17.44,-4.3,2.34


1.273054,-17.71,-4.22,2.31


1.296015,-17.84,-4.22,2.31


1.312438,-17.84,-4.22,2.31


1.336353,-18.02,-4.22,2.31


1.359186,-18.32,-4.15,2.29


1.374268,-18.32,-4.15,2.29


1.401143,-18.67,-4.11,2.33


1.421414,-19.08,-4.15,2.36


1.438855,-19.08,-4.15,2.36


