delta time, euler x , euler y , euler z
Min x, Max x, Min y, Max y, Min z, Max z
0.01999999,-0.52,-0.18,4.86


0.03999998,-0.09,-22.38,2.44


0.2417856,0.02,-27.03,1.23


0.3413084,-0.07,-28.17,1.26


0.3655331,-0.1,-28.32,1.35


0.4024932,-0.17,-28.27,1.63


0.4271592,-0.22,-28.34,1.93


0.4591719,-0.29,-28.15,2.14


0.48414,-0.33,-27.75,2.32


0.5170857,-0.55,-25.91,3.13


0.547646,-0.6,-23.08,4.02


0.5792438,-0.58,-20.13,4.47


0.602044,-0.47,-18.15,4.78


0.6348206,-0.45,-16.98,4.7


0.6681233,-0.41,-13.64,4.75


0.697975,-0.35,-11.3,4.98


0.7208301,-0.34,-8.29,4.93


0.7461391,-0.36,-3.95,4.43


0.7796149,-0.37,-2.64,4.36


0.8066901,-0.35,-2.02,4.22


0.8350829,-0.34,-2.31,4.08


0.8638371,-0.36,-3.61,3.87


0.8880829,-0.34,-4.83,3.7


0.9151046,-0.31,-6.47,3.6


0.9471011,-0.19,-10.49,3.61


0.9800791,-0.12,-14.47,3.63


1.013151,-0.04,-19.32,3.39


1.043933,0.07,-22.59,3.23


1.088749,0.12,-23.86,3.27


1.132675,0.04,-27.95,4.18


1.179187,-0.08,-29.67,5.03


1.199633,-0.29,-31.1,5.99


1.229924,-0.4,-31.82,6.48


1.25224,-0.63,-33.09,7.24


1.276627,-0.76,-33.78,7.49


1.297913,-0.88,-34.42,7.71


1.319816,-0.99,-35.52,7.87


1.34346,-1,-36.58,7.81


1.360577,-1,-36.58,7.81


1.385429,-0.96,-36.78,7.88


1.409552,-1.02,-37.12,7.95


1.432869,-1.05,-37.19,7.88


1.455884,-1.05,-37.19,7.88


1.478002,-0.98,-37.52,8.15


1.494271,-0.87,-38.15,8.38


1.519388,-0.72,-38.48,8.48


1.541513,-0.72,-38.48,8.48


1.563878,-0.21,-39.17,8.31


1.586122,0.1,-39.67,8.06


1.612455,-0.76,-41.29,8.37


1.633986,-0.76,-41.29,8.37


1.659878,-0.76,-41.62,8.07


1.684566,-1.22,-41.6,6.95


1.715159,-1.55,-41.15,6.88


1.73488,-1.81,-40.48,6.8


1.75826,-2.04,-40.15,6.88


1.779003,-2.39,-39.66,7.07


1.798375,-2.99,-38.98,7.52


1.820984,-3.01,-38.7,7.57


1.845041,-3.01,-38.7,7.57


1.868428,-2.98,-38.01,7.48


1.892854,-2.99,-37.84,7.01


1.915253,-3.03,-38.09,6.54


1.93933,-3.03,-38.09,6.54


1.961167,-3.1,-39.23,5.99


1.978962,-3.19,-39.8,5.82


2.001625,-3.19,-39.8,5.82


2.026802,-3.41,-41.46,5.13


2.053413,-3.27,-41.87,4.88


2.076309,-2.74,-42.74,4.56


2.099276,-2.18,-43.3,4.34


2.125324,-1.63,-43.7,4.1


2.146631,-0.87,-44.34,3.96


2.168283,0.22,-45.79,3.54


2.193648,2.58,-51.42,2.65


2.235308,1.32,-55.61,1.56


2.273356,-0.93,-62.28,-1.41


2.297113,-6.03,-72.34,-7.99


2.318328,20.6,-86.19,-51.62


