delta time, euler x , euler y , euler z
0.01999999,0,0,0


0.03999998,4.35,19.88,17.15


0.1466872,1.06,17.58,17.72


0.2483066,1.07,17.72,17.4


0.2733066,-0.8,16.88,14.94


0.298397,-3.42,16.59,13.36


0.3234425,-3.99,17.55,12.91


0.3478036,-4.29,17.66,12.5


0.3902923,-4.47,17.73,12.02


0.4148189,-3.15,16.62,11.41


0.444633,-2.2,13.87,11.69


0.4702053,-2.2,12.38,11.46


0.4918112,-2.8,12.29,11.2


0.5196055,-2.8,12.29,11.2


0.5465214,-4.49,12.64,10.26


0.5742935,-5.16,12.5,9.56


0.6135754,-6.41,11.96,9.52


0.6402377,-6.93,11.57,9.13


0.6734017,-7.37,10.95,8.74


0.7017968,-7.96,9.13,7.94


0.7345516,-8.59,6.15,6.53


0.7642316,-8.93,4.11,5.83


0.7943859,-9.16,3.18,5.53


0.8287835,-9.58,1.52,4.86


0.8583614,-10.06,-0.12,4.16


0.8779345,-10.06,-0.12,4.16


0.9039739,-9.99,-1.62,3.54


0.9313096,-9.76,-2.7,3.09


0.9632499,-9.57,-3.18,2.86


0.984879,-8.62,-4.14,2.63


1.011635,-7.71,-4.68,2.4


1.054021,-5.24,-5.64,2.01


1.0868,-5.24,-5.64,2.01


1.11197,-4.43,-5.85,1.94


1.14334,-3.05,-6.44,1.69


1.181822,-1.33,-7.33,1.49


1.213906,-0.98,-7.44,1.46


1.259488,-0.98,-7.42,1.39


1.273066,-1.08,-7.32,1.36


1.296648,-1.27,-7.22,1.33


1.310507,-1.27,-7.22,1.33


1.335889,-1.85,-6.98,1.25


1.353019,-1.85,-6.98,1.25


1.376758,-2.29,-6.81,1.15


1.404071,-2.37,-6.8,1.14


1.429666,-2.51,-6.7,1.11


1.470526,-2.7,-6.66,1.03


1.483549,-2.81,-6.54,0.99


1.505407,-2.81,-6.54,0.99


1.550456,-3.25,-6.23,0.75


1.576988,-3.45,-6.09,0.58


1.598476,-3.45,-6.09,0.58


1.62003,-3.6,-5.88,0.43


1.645751,-3.98,-5.63,0.31


1.687805,-4.43,-5.37,0.23


1.728563,-4.7,-5.07,0.14


1.753948,-5.03,-4.46,0.11


1.774415,-5.03,-4.46,0.11


1.796317,-5.3,-4.07,0.1


1.822791,-5.54,-3.79,0.11


1.846885,-5.57,-3.66,0.13


1.883803,-5.56,-3.5,0.13


1.90554,-5.73,-3.38,0.1


1.929543,-5.73,-3.38,0.1


1.953643,-5.73,-3.38,0.1


1.976942,-5.78,-3.29,0.1


1.998197,-6.02,-3.11,0.11


2.011935,-6.02,-3.11,0.11


2.047494,-6.58,-2.91,0.07


