Elapsed Time (secs) , euler x , euler y , euler z , quat x , quat y , quat z , quat w
0.01999999,0,0,0,0,0,0,1


0.03999998,0,0,0,0,0,0,1


0.1639748,0,0,0,0,0,0,1


0.2614773,0,0,0,0,0,0,1


0.3021932,0,0,0,0,0,0,1


0.3694402,0,0,0,0,0,0,1


0.3978034,0,0,0,0,0,0,1


0.4260296,0,0,0,0,0,0,1


0.4572876,0,0,0,0,0,0,1


0.4862042,0,0,0,0,0,0,1


0.5123119,0,0,0,0,0,0,1


0.5408298,0,0,0,0,0,0,1


0.5742042,0,0,0,0,0,0,1


0.6093292,0,0,0,0,0,0,1


0.6451468,0,0,0,0,0,0,1


0.6819313,0,0,0,0,0,0,1


0.7183609,0,0,0,0,0,0,1


0.7757478,0,0,0,0,0,0,1


0.8216226,0,0,0,0,0,0,1


0.8619598,0,0,0,0,0,0,1


0.8954681,0,0,0,0,0,0,1


0.9277946,0,0,0,0,0,0,1


0.9600164,0,0,0,0,0,0,1


0.9935403,0,0,0,0,0,0,1


1.029432,0,0,0,0,0,0,1


1.070284,0,0,0,0,0,0,1


1.159043,0,0,0,0,0,0,1


1.249524,0,0,0,0,0,0,1


1.29634,0,0,0,0,0,0,1


1.332896,0,0,0,0,0,0,1


1.379076,0,0,0,0,0,0,1


1.421213,0,0,0,0,0,0,1


1.467339,0,0,0,0,0,0,1


1.507183,0,0,0,0,0,0,1


1.555204,0,0,0,0,0,0,1


1.596044,0,0,0,0,0,0,1


1.644164,0,0,0,0,0,0,1


1.687085,0,0,0,0,0,0,1


1.727104,0,0,0,0,0,0,1


1.78118,0,0,0,0,0,0,1


1.816038,0,0,0,0,0,0,1


1.850257,0,0,0,0,0,0,1


1.891789,0,0,0,0,0,0,1


1.935609,0,0,0,0,0,0,1


1.981916,0,0,0,0,0,0,1


2.015416,0,0,0,0,0,0,1


2.049905,0,0,0,0,0,0,1


2.08384,0,0,0,0,0,0,1


2.116341,0,0,0,0,0,0,1


2.180592,0,0,0,0,0,0,1


2.240665,0,0,0,0,0,0,1


2.269365,0,0,0,0,0,0,1


2.298343,0,0,0,0,0,0,1


2.327513,0,0,0,0,0,0,1


2.361925,0,0,0,0,0,0,1


2.394117,0,0,0,0,0,0,1


2.425825,0,0,0,0,0,0,1


2.44694,0,0,0,0,0,0,1


2.46722,0,0,0,0,0,0,1


2.48908,0,0,0,0,0,0,1


2.510277,0,0,0,0,0,0,1


2.530548,0,0,0,0,0,0,1


