delta time, euler x , euler y , euler z
0.01999999,0,0,0


0.03999998,-0.46,-4.42,0.3


0.1506018,0.2,-4.48,0.3


0.2990198,1.5,-4.46,0.13


0.3222288,2.01,-4.43,0.07


0.3435822,2.01,-4.43,0.07


0.3813522,2.97,-4.4,-0.02


0.3996182,2.97,-4.4,-0.02


0.4174084,3.59,-4.42,-0.05


0.4382199,3.59,-4.42,-0.05


0.4669782,3.89,-4.43,-0.04


0.4965627,4.75,-4.36,-0.05


0.5224739,5.04,-4.36,-0.04


0.594614,6.11,-4.35,-0.08


0.6352261,6.24,-4.28,-0.1


0.6548491,6.3,-4.24,-0.13


0.6804705,6.3,-4.24,-0.13


0.7083726,6.34,-4.19,-0.14


0.7404961,6.32,-4.12,-0.22


0.7665139,6.32,-4.12,-0.22


0.7878838,6.32,-4.15,-0.22


0.8114759,6.35,-4.15,-0.23


0.8378227,6.42,-4.13,-0.23


0.864941,6.45,-4.14,-0.22


0.892344,6.56,-4.18,-0.23


0.9207774,6.47,-4.15,-0.24


0.9572494,6.44,-4.14,-0.24


0.9817983,6.35,-4.11,-0.23


1.007881,6.26,-4.08,-0.23


1.036811,6.09,-4.06,-0.21


1.082755,2.47,-4.14,-0.13


1.116654,0.9,-4.12,-0.07


1.147924,-1.57,-4.09,0.03


1.182887,-3.7,-4.07,0.2


1.215897,-4.97,-3.98,0.31


1.243092,-5.39,-4,0.39


1.268199,-5.49,-4.03,0.47


1.306702,-5.47,-4.04,0.57


1.335946,-5.11,-4.08,0.63


1.384233,-1.57,-4.15,0.55


1.410285,-0.51,-4.12,0.49


1.472462,3.31,-4.05,0.12


1.494431,4.35,-4.08,0


1.517163,4.35,-4.08,0


1.546479,4.95,-4.09,-0.04


1.575791,5.22,-4.13,-0.04


1.600952,5.61,-4.22,0


1.623532,5.89,-4.25,0.02


1.652553,6.05,-4.28,0.01


1.680288,6.08,-4.25,0


1.703657,6.05,-4.29,0.01


1.732219,5.95,-4.25,-0.03


1.753725,5.95,-4.25,-0.03


1.780547,5.92,-4.24,-0.05


1.806234,5.92,-4.24,-0.07


1.840911,5.83,-4.21,-0.08


1.868961,5.83,-4.23,-0.07


1.900647,5.72,-4.18,-0.08


1.924152,5.69,-4.2,-0.07


1.954616,5.63,-4.17,-0.11


1.984775,5.63,-4.17,-0.11


2.000233,5.68,-4.21,-0.11


2.029932,5.68,-4.21,-0.11


2.06236,5.71,-4.25,-0.1


2.085765,5.83,-4.32,-0.11


2.108513,5.81,-4.28,-0.11


2.160381,5.82,-4.29,-0.09


2.19982,5.81,-4.31,-0.1


2.223795,5.82,-4.33,-0.1


