delta time, euler x , euler y , euler z
Min x, Max x, Min y, Max y, Min z, Max z
0.01999999,-13.13,-4.42,-17.29


0.03999998,-9.71,-2.89,-2.01


0.2948991,11.53,-2.71,-3.63


0.3977815,30.73,-4.79,-4.19


0.4448337,32.85,-4.87,-4.3


0.4923269,35.21,-4.89,-4.59


0.5461176,35.09,-4.53,-4.61


0.6000406,33.33,-4.13,-4.31


0.6580597,33.33,-4.13,-4.31


0.7029385,25.04,-3.01,-3.74


0.7579416,10.47,-2.33,-3.63


0.8110548,1.82,-3.03,-3.3


0.8678192,-6.99,-3.19,-2.8


0.9339887,-10.16,-3.16,-2.79


1.002028,-12.9,-3.48,-2.55


1.059588,-14.42,-3.74,-2.37


1.126788,-16.52,-4.07,-2.04


1.215976,-19.12,-4.58,-1.48


1.315805,-22.93,-4.91,-1.15


1.362549,-23.96,-4.75,-1.37


1.40933,-25.17,-4.32,-1.64


1.461032,-28.16,-3.47,-1.78


1.510177,-29.89,-4.03,-1.29


1.563784,-31.07,-5.71,-0.17


1.608335,-31.51,-6.75,0.32


1.643359,-32.08,-7.58,0.75


1.675886,-32.42,-7.86,0.93


1.710516,-33.19,-8.37,1.3


1.747638,-33.8,-8.43,1.45


1.786108,-34.26,-8.38,1.67


1.820717,-34.39,-8.37,1.76


1.85462,-34.42,-8.45,1.88


1.886675,-34.55,-8.58,2.07


1.918979,-34.67,-8.7,2.11


1.949924,-34.95,-8.91,2.34


1.984401,-35.14,-9.12,2.49


2.015944,-35.41,-9.32,2.79


2.053159,-35.61,-9.49,3.08


2.086898,-35.86,-9.62,3.31


2.115731,-35.97,-9.72,3.41


2.144072,-36.32,-9.91,3.74


2.183828,-36.72,-9.99,3.93


2.247114,-36.74,-10.24,4.2


2.316078,-26.73,-11.49,1.93


2.347987,-14.37,-11.41,-0.84


2.383064,-14.37,-11.41,-0.84


2.419867,-3.43,-10,-2.6


2.452659,-0.43,-9.65,-3.01


2.486863,1.75,-9.58,-3.32


2.519845,3.33,-9.47,-3.57


2.5544,4.51,-9.53,-3.98


2.589999,4.23,-9.63,-4.11


2.622296,3.75,-9.64,-4.1


2.656156,2.47,-9.85,-3.85


2.690864,1.3,-10.06,-3.56


2.726028,0.37,-10.1,-3.33


2.75968,-2.51,-10.03,-2.81


2.791416,-12.53,-9.79,-1.04


2.826131,-17.28,-9.54,-0.2


2.860789,-19.23,-9.38,0.14


2.891851,-22.62,-8.86,0.62


2.926168,-25.05,-8.3,0.91


2.958803,-26.92,-7.69,1.02


2.99063,-28.09,-7.14,1.14


3.024876,-28.57,-6.96,1.15


3.057675,-29.13,-6.8,1.26


3.092818,-32.45,-6.53,2.1


3.12792,-33.49,-6.62,2.45


3.159636,-34.02,-6.71,2.6


3.197139,-34.99,-6.9,3.03


3.261432,-35.95,-7.44,3.44


3.325554,-36.56,-7.63,3.7


3.359812,-37.1,-7.62,3.84


3.394582,-38.86,-7.68,4.28


3.427305,-39.54,-7.59,4.45


3.456922,-39.7,-7.61,4.46


3.489436,-40.02,-7.82,4.53


3.52306,-40.47,-8.21,4.85


3.55527,-40.47,-8.82,5.34


3.589258,-39.86,-9.84,5.96


3.62177,-39.2,-10.71,6.39


3.653451,-37.12,-12.74,7.57


3.71365,-30.58,-17.63,9.85


3.745542,-26.05,-20.19,11.26


3.77683,-23.42,-21.44,11.92


3.81158,-14.89,-23.79,12.07


3.845178,-10.61,-24.37,11.56


3.877439,-7.29,-24.24,10.88


3.909865,-5.8,-23.85,10.64


3.946326,-1.97,-23.15,9.5


3.98122,3.43,-22.49,8.16


4.012375,10.15,-21.42,6.54


4.047251,16.3,-20.13,5.16


4.08128,18.83,-19.51,4.73


4.115186,24.33,-17.86,3.6


4.148982,24.99,-17.19,3.41


4.183056,25.29,-16.85,3.28


4.226285,25.19,-16.01,2.97


4.300943,23.15,-13.9,2.16


4.369129,22.48,-12.87,1.64


4.403893,22.99,-12.98,1.4


4.437554,23.12,-12.77,1.17


4.476111,23.36,-12.11,0.64


4.515147,22.69,-11.83,0.51


4.551146,19.98,-11.19,0.33


4.590121,13.39,-10.61,-0.05


4.62793,3.78,-9.98,-0.07


4.671124,0.28,-9.83,0.1


4.749269,-14.06,-7.82,1.01


4.825768,-20.37,-7.22,2.09


4.904099,-28.14,-7.51,4.26


4.942794,-28.64,-7.44,4.43


4.982833,-29.22,-7.34,4.62


5.021163,-28.14,-7.48,4.54


5.060515,-25.29,-7.75,4.19


5.140751,-1,-10.61,0.81


5.218617,9.7,-16.62,1


5.258938,11.05,-26.14,2.82


5.295072,11.65,-33.31,3.93


5.331645,12.76,-38.29,3.76


5.371516,17.21,-39.39,0.68


5.410487,20.62,-37.62,-1.44


5.451943,28.13,-31.63,-5.6


5.493714,31.47,-19.09,-6.29


5.53535,28.46,-14.56,-5.38


5.574924,28.46,-14.56,-5.38


5.615761,12.48,-4.44,-6.2


5.654917,5.29,-1.01,-6.74


5.693729,-1.97,1.52,-6.57


5.765249,-15.53,0.03,-0.89


5.840637,-15.41,-6.78,6.1


5.87546,-13.31,-8.77,7.76


5.911204,-1.02,-19.12,12.46


5.945794,6.46,-25.23,12.06


5.978131,13.7,-29.62,11.18


6.010322,16.76,-30.84,10.21


6.045012,19.24,-30.85,8.86


6.088342,19.43,-28.85,8.1


6.1316,16.85,-25.62,7.4


6.179626,15.91,-24.96,7.41


6.227577,12.17,-22.01,7.47


6.316721,7.02,-19.15,7.56


6.41012,3.22,-16.89,7.07


6.45392,1.71,-15.63,6.72


6.497466,1.56,-15.46,6.58


6.543532,1.04,-15.33,6.44


6.586633,0.56,-15.08,6.46


6.628027,0.44,-15.01,6.43


6.672168,0.44,-15.01,6.43


6.71039,0.42,-14.95,6.39


6.801303,0.02,-14.2,6.15


6.875886,-0.05,-14.14,6.08


6.951493,0.08,-14.05,6.01


6.983931,0.17,-13.95,5.88


7.009583,0.4,-13.93,5.78


7.035089,0.54,-13.97,5.75


7.064755,0.52,-13.99,5.75


7.092813,0.48,-13.95,5.8


7.119492,0.61,-13.99,5.75


7.169476,0.7,-13.93,5.68


7.220065,0.57,-13.91,5.67


7.247264,0.41,-13.93,5.76


7.277238,0.36,-13.93,5.74


7.301285,0.35,-13.84,5.74


7.326817,0.34,-13.84,5.74


7.351374,0.31,-13.82,5.73


7.376278,0.31,-13.82,5.73


7.402078,0.24,-13.79,5.75


7.427838,0.12,-13.75,5.71


7.457255,-0.13,-13.75,5.74


7.482171,-0.39,-13.78,5.79


7.508418,-0.57,-13.75,5.83


7.536246,-0.76,-13.69,5.88


7.561022,-0.76,-13.69,5.88


7.591258,-0.52,-13.58,5.78


7.61402,-0.52,-13.58,5.78


7.642812,-0.15,-13.46,5.65


7.695717,0.52,-13.3,5.37


7.748345,1.08,-13.21,5.19


7.797752,1.24,-13.29,5.14


7.845576,1.45,-13.24,5.12


7.869344,1.65,-13.23,5.08


7.897915,1.78,-13.14,5.06


7.927122,1.81,-13.05,5.08


7.951861,1.86,-12.93,5.04


7.979167,1.86,-12.93,5.04


8.010419,2.26,-12.32,4.85


8.046875,7.53,-6.65,2.19


8.089601,9.65,-0.1,0.21


8.152672,7.59,7.53,-0.23


8.215581,2.65,15.87,-0.71


8.247289,1.25,18.87,-0.98


8.280048,0.84,20.07,-1.19


8.31043,0.67,22.05,-1.37


8.338707,1.28,23.53,-1.45


8.368248,1.82,24.62,-1.49


8.397785,2.05,25.4,-1.65


8.425932,2.13,25.74,-1.59


8.452311,2.24,26.02,-1.59


8.478894,2.58,26.52,-1.13


8.509271,2.25,26.76,-0.99


8.536899,1.92,26.78,-0.8


8.563738,1.76,26.82,-0.75


8.59779,1.46,26.69,-0.7


8.627484,1.08,26.68,-0.71


8.660027,0.89,26.61,-0.72


8.713465,0.56,26.4,-0.83


8.766565,0.96,25.29,-0.83


8.819068,0.87,24.9,-0.96


8.869845,0.98,22.5,-0.5


8.895526,0.79,21.09,-0.37


8.926502,0.26,20.12,-0.5


8.953268,-0.21,18.66,-0.14


8.978358,-0.46,18,-0.02


9.006693,-0.56,17.95,0.01


9.031586,-0.96,17.66,0.1


9.058112,-0.96,17.66,0.1


9.084098,-1.09,16.96,0.26


9.138987,-1.1,15.92,0.61


9.190933,-1.25,15.74,0.65


9.217677,-1.4,15.63,0.68


9.243677,-1.44,15.7,0.68


9.266428,-1.44,15.7,0.68


9.29543,-1.45,15.74,0.64


9.319863,-1.49,15.83,0.63


9.344152,-1.52,15.92,0.55


9.374103,-1.49,15.86,0.5


9.398971,-1.54,15.71,0.49


9.425438,-1.54,15.71,0.49


9.450517,-1.59,15.68,0.49


9.47979,-1.71,15.63,0.5


9.502612,-1.72,15.62,0.51


9.528778,-1.56,15.57,0.52


9.552967,-1.34,15.41,0.56


9.580821,-1.03,15.16,0.63


9.614244,-0.88,14.95,0.69


9.644575,-0.38,14.55,0.72


9.667666,0.68,13.96,0.85


9.73116,3.26,12.74,1.04


9.784225,5.39,11.73,1.04


9.902308,5.42,11.3,0.99


9.923055,5.42,11.3,0.99


9.993634,4.98,10.27,1.04


10.0294,4.76,9.97,1.08


10.05962,4.65,9.78,1.09


10.11446,4.21,8.7,1.05


