delta time, euler x , euler y , euler z
Min x, Max x, Min y, Max y, Min z, Max z
0.01999999,-0.51,-0.17,7.3


0.03999998,-0.58,-0.14,0.52


0.1214941,-0.58,-0.14,0.52


0.1960507,-0.58,-0.14,0.52


0.2103748,-0.58,-0.14,0.52


0.2862286,-0.58,-0.14,0.53


0.306461,-0.58,-0.14,0.53


0.3179414,-0.58,-0.14,0.53


0.3336144,-0.58,-0.14,0.53


0.3514723,-0.57,-0.14,0.53


0.3671441,-0.57,-0.14,0.53


0.3841153,-0.57,-0.14,0.53


0.4004132,-0.57,-0.14,0.53


0.4192861,-0.57,-0.14,0.53


0.4376875,-0.57,-0.14,0.53


0.4525126,-0.57,-0.14,0.53


0.4691682,-0.57,-0.14,0.52


0.4855975,-0.57,-0.14,0.52


0.5047446,-0.57,-0.14,0.52


0.5206856,-0.57,-0.14,0.52


0.5422453,-0.57,-0.14,0.52


0.5604261,-0.57,-0.14,0.52


0.5740555,-0.57,-0.14,0.52


0.5882801,-0.57,-0.14,0.52


0.6038591,-0.57,-0.14,0.52


0.6275858,-0.57,-0.14,0.52


0.6413743,-0.57,-0.14,0.52


0.6584337,-0.57,-0.14,0.52


0.6701831,-0.57,-0.14,0.52


0.6907575,-0.59,-0.11,-0.01


0.7085425,-0.57,-0.17,-0.54


0.7251891,-0.57,-0.17,-0.54


0.7408267,-0.52,-0.23,-0.58


0.7643825,-0.52,-0.23,-0.58


0.777093,-0.5,-0.69,-0.46


0.7931285,-0.49,-1.24,-0.27


0.8130986,-0.54,-2.07,-0.04


0.8332118,-0.63,-3.66,0.28


0.851036,-0.63,-3.66,0.28


0.8646052,-1,-5.36,0.42


0.8888341,-1,-5.36,0.42


0.9086683,-1.33,-6.31,0.4


0.9282147,-1.78,-8.34,0.17


0.9437202,-1.78,-8.34,0.17


0.9671145,-2.09,-11.97,-0.19


0.9809346,-2.05,-14.48,0


0.9949631,-2.05,-14.48,0


1.006972,-1.54,-16.51,0.04


1.025611,-1.54,-16.51,0.04


1.059973,-1.18,-17.07,-0.08


1.082477,-0.5,-18.52,-0.62


1.104178,0.22,-21,-1.75


1.111439,0.22,-21,-1.75
