Elapsed Time (secs) , euler x , euler y , euler z , quat x , quat y , quat z , quat w
-63820228775.2243,0,0,0,0,0,0,1


-63820228776.6263,0,0,0,0,0,0,1


-63820228776.7159,0,0,0,0,0,0,1


-63820228776.8208,0,0,0,0,0,0,1


-63820228776.8415,0,0,0,0,0,0,1


-63820228776.8706,0,0,0,0,0,0,1


-63820228776.9011,0,0,0,0,0,0,1


-63820228776.9223,0,0,0,0,0,0,1


-63820228776.9504,0,0,0,0,0,0,1


-63820228776.9701,0,0,0,0,0,0,1


-63820228776.996,0,0,0,0,0,0,1


-63820228777.019,0,0,0,0,0,0,1


-63820228777.0474,0,0,0,0,0,0,1


-63820228777.0757,0,0,0,0,0,0,1


-63820228777.1041,0,0,0,0,0,0,1


-63820228777.1299,0,0,0,0,0,0,1


-63820228777.1546,0,0,0,0,0,0,1


-63820228777.1805,0,0,0,0,0,0,1


-63820228777.2015,0,0,0,0,0,0,1


-63820228777.2304,0,0,0,0,0,0,1


-63820228777.2543,0,0,0,0,0,0,1


-63820228777.2784,0,0,0,0,0,0,1


-63820228777.3023,0,0,0,0,0,0,1


-63820228777.3293,0,0,0,0,0,0,1


-63820228777.3533,0,0,0,0,0,0,1


-63820228777.3803,0,0,0,0,0,0,1


-63820228777.4033,0,0,0,0,0,0,1


-63820228777.4266,0,0,0,0,0,0,1


-63820228777.4492,0,0,0,0,0,0,1


-63820228777.4857,0,0,0,0,0,0,1


-63820228777.5056,0,0,0,0,0,0,1


-63820228777.5301,0,0,0,0,0,0,1


-63820228777.5521,0,0,0,0,0,0,1


-63820228777.5764,0,0,0,0,0,0,1


-63820228777.6003,0,0,0,0,0,0,1


-63820228777.6358,0,0,0,0,0,0,1


-63820228777.6567,0,0,0,0,0,0,1


-63820228777.7031,0,0,0,0,0,0,1


-63820228777.7453,0,0,0,0,0,0,1


-63820228777.7642,0,0,0,0,0,0,1


-63820228777.7889,0,0,0,0,0,0,1


-63820228777.8154,0,0,0,0,0,0,1


-63820228777.8363,0,0,0,0,0,0,1


-63820228777.8593,0,0,0,0,0,0,1


-63820228777.8824,0,0,0,0,0,0,1


-63820228777.9034,0,0,0,0,0,0,1


-63820228777.9263,0,0,0,0,0,0,1


-63820228777.9493,0,0,0,0,0,0,1


-63820228777.9712,0,0,0,0,0,0,1


-63820228777.9949,0,0,0,0,0,0,1


-63820228778.0189,0,0,0,0,0,0,1


-63820228778.0422,0,0,0,0,0,0,1


-63820228778.0663,0,0,0,0,0,0,1


-63820228778.0916,0,0,0,0,0,0,1


-63820228778.1166,0,0,0,0,0,0,1


-63820228778.1426,0,0,0,0,0,0,1


-63820228778.1675,0,0,0,0,0,0,1


-63820228778.1875,0,0,0,0,0,0,1


-63820228778.2114,0,0,0,0,0,0,1


-63820228778.2345,0,0,0,0,0,0,1


-63820228778.2585,0,0,0,0,0,0,1


-63820228778.2835,0,0,0,0,0,0,1


-63820228778.3054,0,0,0,0,0,0,1


-63820228778.3282,0,0,0,0,0,0,1


-63820228778.3512,0,0,0,0,0,0,1


-63820228778.3747,0,0,0,0,0,0,1


-63820228778.4007,0,0,0,0,0,0,1


-63820228778.4194,0,0,0,0,0,0,1


-63820228778.4434,0,0,0,0,0,0,1


-63820228778.4663,0,0,0,0,0,0,1


-63820228778.4883,0,0,0,0,0,0,1


-63820228778.5102,0,0,0,0,0,0,1


-63820228778.5337,0,0,0,0,0,0,1


-63820228778.5554,0,0,0,0,0,0,1


-63820228778.5813,0,0,0,0,0,0,1


-63820228778.6046,0,0,0,0,0,0,1


-63820228778.6304,0,0,0,0,0,0,1


-63820228778.6763,0,0,0,0,0,0,1


-63820228778.7203,0,0,0,0,0,0,1


-63820228778.7402,0,0,0,0,0,0,1


-63820228778.7671,0,0,0,0,0,0,1


-63820228778.7961,0,0,0,0,0,0,1


-63820228778.8218,0,0,0,0,0,0,1


-63820228778.8433,0,0,0,0,0,0,1


-63820228778.8692,0,0,0,0,0,0,1


-63820228778.8948,0,0,0,0,0,0,1


-63820228778.9184,0,0,0,0,0,0,1


-63820228778.9433,0,0,0,0,0,0,1


-63820228778.9663,0,0,0,0,0,0,1


