delta time, euler x , euler y , euler z
Min x, Max x, Min y, Max y, Min z, Max z
0.01999999,0,0,0


0.03999998,0.12,-2.1,54.93


0.137526,-0.04,-2.09,55


0.2275535,-0.2,-2.14,55.02


0.2460399,-0.2,-2.14,55.02


0.309555,-0.47,-2.12,54.99


0.3424915,-0.61,-2.09,54.98


0.3648801,-0.78,-2.05,54.95


0.391972,-0.91,-2,54.88


0.4166075,-0.97,-1.94,54.85


0.4450096,-0.87,-1.98,54.84


0.4668614,-0.82,-1.98,54.82


0.4858374,-0.82,-1.98,54.82


0.511711,-0.67,-1.97,54.83


0.525915,-0.52,-2.01,54.82


0.5448529,-0.52,-2.01,54.82


0.5626478,-0.41,-2.06,54.82


0.5751768,-0.41,-2.06,54.82


0.6017075,-0.43,-2.13,54.85


0.6223016,-0.42,-2.15,54.86


0.6446863,-0.38,-2.18,54.88


0.6625906,-0.38,-2.18,54.88


0.6784986,-0.3,-2.22,54.89


0.7021646,-0.3,-2.22,54.89


0.725602,-0.28,-2.29,54.92


0.7499816,-0.22,-2.33,54.95


0.7728482,-0.21,-2.37,54.96


0.7957456,-0.2,-2.37,55


0.81766,-0.2,-2.37,55


0.8320156,-0.07,-2.4,55.03


0.8613861,-0.03,-2.43,55.05


0.8847982,-0.02,-2.45,55.06


0.9061541,-0.01,-2.47,55.06


0.93181,0.02,-2.5,55.07


0.9545804,0.07,-2.57,55.11


0.9785563,0.08,-2.6,55.13


0.9972628,0.08,-2.6,55.13


1.015132,0.13,-2.61,55.16


1.040491,0.21,-2.66,55.18


1.074342,0.2,-2.66,55.18


1.094077,0.22,-2.67,55.18


1.132118,0.26,-2.72,55.19


1.165453,0.32,-2.72,55.2


1.188317,0.43,-2.7,55.21


1.209549,0.43,-2.7,55.21


1.233377,0.49,-2.7,55.22


1.257484,0.61,-2.79,55.24


1.281017,0.53,-2.83,55.26


1.300758,0.53,-2.83,55.26


1.32058,0.28,-2.88,55.29


1.3474,0.16,-2.91,55.34


1.366248,0.11,-2.92,55.35


1.389956,0.11,-2.92,55.35


1.41535,0.12,-2.94,55.36


1.43669,0.08,-2.94,55.37


1.464556,0.09,-2.96,55.4


1.488703,0.16,-2.96,55.4


1.509471,0.16,-2.96,55.4


1.535815,0.23,-2.95,55.4


1.556867,0.47,-2.96,55.39


1.578882,0.64,-3,55.43


1.602149,0.64,-3,55.43


1.621937,0.67,-3.02,55.42


1.648432,0.65,-3,55.43

