delta time, euler x , euler y , euler z
0.01999999,0,0,0


0.03999998,1.11,-3.46,3.19


0.1619012,1.16,-3.45,3.2


0.2472566,1.11,-3.43,3.25


0.2782173,1.12,-3.43,3.25


0.3043733,1.13,-3.42,3.27


0.3399509,1.13,-3.4,3.27


0.3851445,1.13,-3.39,3.28


0.4400464,1.12,-3.39,3.33


0.4673251,1.12,-3.39,3.33


0.4941703,1.11,-3.38,3.36


0.5222162,1.11,-3.37,3.36


0.5533656,1.09,-3.37,3.37


0.5836349,1.09,-3.37,3.38


0.6078802,1.07,-3.36,3.38


0.6614934,1.05,-3.34,3.39


0.690264,1.03,-3.33,3.4


0.7335851,1.02,-3.32,3.42


0.7707934,1.02,-3.31,3.4


0.8134471,1.01,-3.32,3.41


0.8680814,0.99,-3.33,3.43


0.8951578,0.99,-3.33,3.43


0.925557,0.93,-3.31,3.46


0.9594237,0.84,-3.31,3.47


0.990164,0.79,-3.3,3.5


1.02474,0.64,-3.32,3.54


1.094086,-0.07,-3.32,3.72


1.13371,-0.79,-3.22,3.93


1.163803,-0.98,-3.18,3.94


1.208544,-1.58,-3.07,3.95


1.257705,-2.04,-2.99,3.86


1.312396,-2.61,-2.88,3.75


1.345689,-2.89,-2.83,3.72


1.379515,-3.23,-2.77,3.69


1.409942,-3.52,-2.73,3.62


1.445772,-3.68,-2.7,3.59


1.479539,-4.06,-2.67,3.55


1.538435,-4.81,-2.63,3.47


1.574408,-5.03,-2.62,3.46


1.60768,-5.62,-2.54,3.43


1.642064,-5.96,-2.53,3.41


1.677861,-6.38,-2.53,3.35


1.709402,-6.64,-2.51,3.34


1.759491,-7.02,-2.49,3.3


1.785436,-7.02,-2.49,3.3


1.81297,-7.28,-2.5,3.29


1.840909,-7.56,-2.49,3.29


1.872827,-7.68,-2.48,3.29


1.898738,-7.91,-2.5,3.29


1.931353,-8.1,-2.47,3.29


1.976165,-8.42,-2.46,3.24


2.004065,-8.52,-2.46,3.24


2.041847,-8.72,-2.47,3.23


2.074181,-8.88,-2.45,3.24


2.105587,-9.01,-2.46,3.24


2.140628,-9.15,-2.48,3.23


2.187477,-9.42,-2.52,3.23


2.211465,-9.6,-2.56,3.2


2.260235,-9.75,-2.57,3.18


2.304725,-10.09,-2.59,3.2


2.330538,-10.19,-2.58,3.2


2.35252,-10.19,-2.58,3.2


2.400735,-10.58,-2.56,3.22


2.426927,-10.78,-2.54,3.22


2.453271,-10.89,-2.53,3.23


2.48351,-11.09,-2.5,3.24


2.509982,-11.3,-2.47,3.28


2.541118,-11.53,-2.45,3.29


2.573376,-11.76,-2.42,3.35


