delta time, euler x , euler y , euler z
Min x, Max x, Min y, Max y, Min z, Max z
0.01999999,-0.39,-0.04,-1.71


0.03999998,-0.48,-0.14,-1.7


0.16033,-0.48,-0.14,-1.7


0.2682251,-0.48,-0.14,-1.7


0.2905444,-0.48,-0.14,-1.7


0.3080905,-0.48,-0.14,-1.7


0.335843,-0.48,-0.14,-1.7


0.36112,-0.48,-0.14,-1.7


0.3844687,-0.48,-0.14,-1.7


0.4113534,-0.48,-0.14,-1.7


0.4369199,-0.48,-0.14,-1.7


0.4608268,-0.48,-0.14,-1.7


0.4887736,-0.48,-0.15,-1.7


0.5126101,-0.48,-0.15,-1.7


0.5434099,-0.48,-0.15,-1.7


0.5701407,-0.45,-0.14,-2.01


0.6001751,-0.42,-0.16,-2.88


0.6279268,-0.42,-0.17,-3.37


0.6651363,-0.41,-0.19,-4.59


0.6902837,-0.41,-0.2,-4.93


0.7173212,-0.41,-0.2,-4.93


0.7481045,-0.42,-0.2,-5.06


0.7782688,-0.45,-0.2,-4.99


0.8019,-0.46,-0.21,-4.56


0.8290995,-0.49,-0.2,-4.48


0.856223,-0.48,-0.2,-4.48


0.8832821,-0.46,-0.2,-4.32


0.9111684,-0.43,-0.2,-4.17


0.9395148,-0.35,-0.2,-3.88


0.9687316,-0.33,-0.19,-3.63


0.9902328,-0.3,-0.19,-3.53


1.008418,-0.3,-0.19,-3.53


1.030918,-0.22,-0.16,-3.44


1.066191,-0.12,-0.15,-3.31


1.086664,-0.1,-0.12,-3.25


1.104685,-0.1,-0.12,-3.25


1.13103,-0.11,-0.11,-3.23


1.155808,-0.14,-0.1,-3.18


1.196135,-0.21,-0.15,-3.06


1.232646,-0.5,-0.19,-2.99


1.253164,-0.5,-0.19,-2.99


1.276611,-0.48,-0.18,-2.56


1.293821,-0.47,-0.17,-2.38


1.31898,-0.46,-0.17,-2.38


1.343546,-0.46,-0.17,-2.38


1.365942,-0.46,-0.18,-2.38


1.390504,-0.46,-0.18,-2.38


1.409247,-0.46,-0.18,-2.38


1.433571,-0.46,-0.18,-2.37


1.458677,-0.46,-0.18,-2.37


1.476345,-0.47,-0.18,-2.38


1.500867,-0.47,-0.18,-2.38


1.525245,-0.47,-0.18,-2.38


1.545656,-0.47,-0.18,-2.38


1.570948,-0.47,-0.18,-2.38


1.594407,-0.47,-0.18,-2.37


1.608897,-0.47,-0.18,-2.37


1.634323,-0.47,-0.18,-2.38


1.659322,-0.47,-0.18,-2.38


1.678034,-0.47,-0.18,-2.38


1.706176,-0.47,-0.18,-2.38


1.725961,-0.47,-0.18,-2.38


1.743989,-0.47,-0.18,-2.38


1.766962,-0.47,-0.18,-2.38


1.791408,-0.46,-0.18,-2.35


1.809251,-0.45,-0.18,-2.3


1.834012,-0.47,-0.17,-2.28


1.858249,-0.46,-0.17,-2.13
