delta time, euler x , euler y , euler z
0.01999999,0,0,0


0.03999998,3.5,2.1,11.42


0.1750198,4.03,2.45,12.26


0.2911561,3.76,1.57,12.6


0.3169028,3.74,1.49,12.58


0.3857744,3.54,1.38,12.31


0.4451295,3.45,1.48,12.17


0.4780422,3.34,1.65,12.08


0.5071203,3.39,1.79,12.03


0.540441,3.17,1.62,11.95


0.5670038,2.26,1.03,11.24


0.5911409,2.65,1.15,10.39


0.6385956,3.49,1.06,12.09


0.6704615,4.02,1.3,12.35


0.7071328,4.16,1.43,12.21


0.7397436,4.04,1.43,12.17


0.7712811,3.76,1.46,12.1


0.7973222,3.63,1.47,12.04


0.8451858,3.31,1.46,11.96


0.873171,3.06,1.44,11.81


0.902723,2.92,1.33,11.7


0.9349809,2.26,0.85,11.47


0.9638948,1.53,0.47,11.24


0.9925167,1.26,0.27,11.05


1.024913,1.05,0.26,10.78


1.085659,0.53,0.21,10.44


1.115492,0.51,0.11,10.32


1.142349,0.24,-0.15,10.14


1.176417,-0.28,-0.45,9.91


1.226471,-0.32,-0.61,9.79


1.29678,-4.27,-3.15,7.68


1.32834,-4.27,-3.15,7.68


1.361178,-6.73,-5.3,6.22


1.393009,-7.96,-6.67,5.26


1.426123,-8.12,-7.39,4.46


1.45826,-8.37,-7.88,3.78


1.517587,-8.89,-8.3,3.35


1.542453,-8.39,-7.75,3.51


1.575502,-8.03,-7.2,3.87


1.599507,-9.06,-7.11,4.32


1.628492,-9.37,-6.92,4.59


1.657309,-9.28,-6.58,4.87


1.694216,-10.02,-5.95,5.56


1.753264,-11.7,-6.04,6.71


1.780318,-12.2,-6.1,6.89


1.825585,-12.9,-6.26,7.23


1.868441,-13.63,-6.36,7.57


1.892422,-13.63,-6.36,7.57


1.919508,-13.63,-6.36,7.57


1.968141,-13.97,-6.41,7.71


1.993744,-15.52,-6.43,8.9


2.025405,-15.52,-6.43,8.9


2.059985,-13.34,-5.76,9.07


2.092168,-12.5,-5.43,9.06


2.125245,-10.07,-4.47,8.96


2.177446,-7.36,-3.17,8.95


2.21584,-6.51,-2.75,8.92


2.254421,-5.56,-2.14,8.68


2.289491,-5.09,-1.66,8.27


2.311795,-5.09,-1.66,8.27


2.337794,-4.55,-1.21,8.02


2.383657,-4.68,-0.83,7.73


2.403697,-4.68,-0.83,7.73


2.430588,-4.74,-0.76,7.71


2.454348,-4.96,-0.45,7.7


2.477999,-5.31,-0.35,7.79


2.50201,-5.31,-0.35,7.79


2.53721,-6.33,-0.32,8.04


2.569815,-6.91,-0.29,8.15


2.591328,-8.06,-0.4,8.25


2.613453,-8.06,-0.4,8.25


