delta time, euler x , euler y , euler z
Min x, Max x, Min y, Max y, Min z, Max z
0.01999999,-1.45,-3.96,35.01


0.03999998,-2.01,-3.81,35.9


0.109535,-2.03,-3.81,35.93


0.1992659,-2.05,-3.85,35.94


0.289104,-2.21,-3.82,36.01


0.3107815,-2.21,-3.82,36.01


0.352115,-2.31,-3.83,36.05


0.3689754,-2.31,-3.83,36.05


0.3821561,-2.31,-3.83,36.05


0.4078685,-3.01,-3.77,36.37


0.4429826,-3.18,-3.75,36.43


0.4586052,-3.23,-3.74,36.45


0.4807164,-3.25,-3.73,36.46


0.4943273,-3.27,-3.72,36.46


0.5093802,-3.29,-3.72,36.46


0.5339226,-3.29,-3.72,36.46


0.5592707,-3.32,-3.74,36.47


0.5762933,-3.33,-3.8,36.49


0.5974779,-3.33,-3.8,36.49


0.6113056,-3.3,-3.81,36.48


0.6444648,-3.26,-3.8,36.46


0.6576679,-3.26,-3.8,36.46


0.6767219,-3.26,-3.8,36.46


0.6913915,-3.25,-3.81,36.44


0.7115418,-3.25,-3.81,36.44


0.7264502,-3.22,-3.79,36.44


0.7425295,-3.22,-3.79,36.44


0.7630357,-3.17,-3.79,36.42


0.7766341,-3.17,-3.79,36.42


0.7908707,-3.13,-3.76,36.41


0.8126193,-3.12,-3.76,36.42


0.8427837,-3.17,-3.75,36.46


0.8576488,-3.17,-3.75,36.46


0.878956,-3.18,-3.74,36.48


0.8950862,-3.18,-3.74,36.48


0.9115494,-3.18,-3.73,36.51


0.9289225,-3.18,-3.73,36.51


0.9465654,-3.21,-3.72,36.53


0.9635561,-3.2,-3.73,36.54


0.9781656,-3.2,-3.73,36.54


0.9971085,-3.2,-3.73,36.54


1.011974,-3.2,-3.73,36.54


1.026369,-3.21,-3.73,36.56


1.06216,-3.22,-3.74,36.57


1.07601,-3.22,-3.74,36.57


1.095294,-3.23,-3.73,36.59


1.125355,-3.23,-3.73,36.59


1.149246,-3.22,-3.74,36.59


1.161773,-3.22,-3.74,36.59


1.176861,-3.19,-3.75,36.61


1.199473,-3.16,-3.75,36.61


1.212396,-3.16,-3.74,36.61


1.226696,-3.16,-3.74,36.61


1.261931,-3.1,-3.76,36.62


1.277883,-3.1,-3.76,36.62


1.296545,-3.06,-3.79,36.62


1.312064,-3.06,-3.79,36.62


1.326403,-3.03,-3.87,36.63


1.347678,-3.03,-3.87,36.63


1.361917,-3.02,-3.91,36.63


1.376774,-3.02,-3.91,36.63


1.398468,-3.03,-3.89,36.64


1.411885,-3.02,-3.89,36.63


1.426303,-3.02,-3.89,36.63


1.451584,-2.99,-3.9,36.64


1.480956,-2.99,-3.91,36.65


1.494249,-2.99,-3.91,36.65


1.508624,-3,-3.9,36.66


1.528397,-3,-3.9,36.66


1.546566,-2.98,-3.9,36.65


1.563221,-2.96,-3.91,36.65


1.576906,-2.96,-3.91,36.65


1.598898,-2.98,-3.92,36.66


1.613963,-2.98,-3.92,36.66


1.628296,-3,-3.93,36.67


1.65327,-2.99,-3.93,36.69


1.679095,-3,-3.92,36.68


1.696546,-3,-3.91,36.68


1.713426,-2.99,-3.9,36.68


1.727004,-2.99,-3.9,36.68


1.749593,-2.97,-3.89,36.66


1.763334,-2.97,-3.89,36.66


1.778507,-2.95,-3.89,36.65


1.80057,-2.95,-3.88,36.64


1.812111,-2.94,-3.88,36.63


1.834052,-2.89,-3.91,36.62


1.857015,-2.89,-3.91,36.62


1.89485,-2.89,-3.9,36.59


1.90766,-2.89,-3.9,36.59


1.929894,-2.88,-3.9,36.61


1.946406,-2.88,-3.9,36.61


1.966243,-2.9,-3.88,36.62


1.980875,-2.91,-3.86,36.61


2.003887,-2.91,-3.86,36.61


2.024044,-2.9,-3.87,36.6


2.046725,-2.88,-3.86,36.6


2.079075,-2.84,-3.87,36.59


2.123534,-2.78,-3.93,36.59


2.139475,-2.73,-3.92,36.59


2.161162,-2.72,-3.9,36.59


2.176315,-2.72,-3.9,36.59


2.196476,-2.72,-3.89,36.59


2.211586,-2.72,-3.89,36.59


2.236466,-2.73,-3.85,36.61


2.258497,-2.72,-3.82,36.63


2.274036,-2.72,-3.82,36.63


2.295988,-2.69,-3.78,36.66


2.342798,-2.67,-3.71,36.66


2.357052,-2.67,-3.71,36.66


2.379134,-2.64,-3.72,36.66


2.399035,-2.64,-3.72,36.66


2.418081,-2.63,-3.7,36.67


2.44635,-2.63,-3.68,36.69


2.464729,-2.63,-3.66,36.69


2.482547,-2.63,-3.66,36.69


2.508369,-2.61,-3.63,36.68


2.561981,-2.58,-3.59,36.66


2.57995,-2.58,-3.59,36.66


2.599009,-2.56,-3.57,36.64


2.621263,-2.54,-3.56,36.64


2.646903,-2.53,-3.53,36.65


2.673189,-2.55,-3.5,36.66


2.693863,-2.55,-3.5,36.66


2.717769,-2.55,-3.5,36.66


2.784205,-2.51,-3.47,36.72


2.805377,-2.52,-3.45,36.72


2.825618,-2.29,-3.6,36.8


2.852182,-2.17,-3.71,36.81


2.874765,-2.17,-3.71,36.81


