delta time, euler x , euler y , euler z
Min x, Max x, Min y, Max y, Min z, Max z
0.01999999,0,0,0


0.03999998,-0.45,0.03,-5.87


0.1180708,-0.48,0.03,-5.55


0.1641531,-0.46,0.05,-5.52


0.1812054,-0.46,0.05,-5.52


0.1952695,-0.47,0.05,-5.49


0.2097095,-0.47,0.05,-5.49


0.2296659,-0.48,0.05,-5.12


0.2517503,-0.49,0.06,-4.6


0.2650055,-0.49,0.06,-4.6


0.2816873,-0.48,0.07,-4.53


0.299109,-0.48,0.07,-4.53


0.3194469,-0.48,0.07,-4.53


0.3391708,-0.47,0.07,-4.53


0.3582621,-0.47,0.07,-4.53


0.3745313,-0.47,0.06,-4.52


0.4010496,-0.47,0.06,-4.52


0.4151148,-0.47,0.06,-4.52


0.4300479,-0.47,0.06,-4.52


0.4498966,-0.47,0.06,-4.52


0.4686846,-0.47,0.06,-4.54


0.485679,-0.47,0.06,-4.54


0.5028206,-0.48,0.07,-4.55


0.519785,-0.49,0.15,-4.69


0.5341724,-0.49,0.15,-4.69


0.5597958,-0.52,0.31,-4.83


0.5739286,-0.52,0.31,-4.83


0.5959629,-0.55,0.52,-5.04


0.6117209,-0.69,1.47,-5.41


0.6387324,-1.78,4.12,-5


0.6577879,-1.78,4.12,-5


0.6735367,-2.13,5.77,-4.1


0.6977978,-1.53,6.01,-3.41


0.7166802,-1.53,6.01,-3.41


0.7347047,-1.05,6.21,-2.77


0.7523487,-1.05,6.21,-2.77


0.7704453,-0.63,6.32,-2.07


0.7908384,-0.63,6.32,-2.07


0.806421,-0.63,6.32,-2.07


0.8263104,-0.11,4.41,-1.8


0.8444864,-0.11,4.41,-1.8


0.8689482,-0.28,1.67,-1.92


0.8828039,-0.47,-1.94,-1.64


0.8969852,-0.47,-1.94,-1.64


0.9175453,-0.34,-6.36,-1.66


0.9356481,-0.34,-6.36,-1.66


0.9482163,-0.2,-8.62,-1.83


0.9682842,0.04,-10.79,-2.09


0.9830372,0.26,-12.76,-2.4


1.002661,0.76,-16.19,-2.7


1.016337,0.76,-16.19,-2.7


1.031828,1.33,-17.75,-3.24


1.066755,1.7,-18.07,-3.97


1.084081,1.7,-18.07,-3.97


1.102445,1.75,-18.25,-4.23


1.130081,1.78,-19.11,-4.73


1.160039,1.74,-18.96,-5.16


1.169213,1.74,-18.96,-5.16


1.181173,1.81,-18.34,-5.47


1.19774,1.81,-18.34,-5.47


1.213528,2.14,-17.69,-5.71

