delta time, euler x , euler y , euler z
0.01999999,0.26,-3.15,-1.47


0.03999998,3.75,-1.6,-2.85


0.1303355,3.89,-1.52,-2.9


0.2051793,4.22,-1.61,-3.09


0.2214655,4.22,-1.61,-3.09


0.2462232,4.37,-1.78,-3.18


0.2702366,4.45,-1.81,-3.24


0.2933384,4.55,-1.83,-3.26


0.3159834,4.55,-1.83,-3.26


0.3385275,4.84,-1.87,-3.35


0.3799768,5.18,-1.65,-3.44


0.4028095,5.18,-1.65,-3.44


0.429946,5.2,-1.63,-3.44


0.4481304,5.27,-1.64,-3.43


0.4718693,5.34,-1.62,-3.4


0.496733,5.34,-1.62,-3.4


0.5215923,5.45,-1.66,-3.44


0.5468459,5.54,-1.72,-3.49


0.5893869,5.7,-1.76,-3.49


0.603722,5.7,-1.76,-3.49


0.6236487,5.7,-1.76,-3.49


0.6470622,5.7,-1.76,-3.49


0.6697107,5.91,-1.81,-3.53


0.6924873,6,-1.76,-3.59


0.7161964,5.99,-1.77,-3.63


0.7427032,5.87,-1.8,-3.64


0.7605269,5.87,-1.8,-3.64


0.8083826,5.58,-1.88,-3.64


0.8266064,5.58,-1.88,-3.64


0.8507886,5.26,-2.01,-3.7


0.8720131,5.08,-2.14,-3.67


0.8985164,4.73,-2.28,-3.56


0.9219758,4.31,-2.47,-3.56


0.9422164,4.31,-2.47,-3.56


0.9648393,3.96,-2.66,-3.57


1.011947,3.52,-2.93,-3.48


1.03065,3.52,-2.93,-3.48


1.067935,3.21,-3.13,-3.55


1.092058,2.89,-3.36,-3.54


1.130405,2.51,-3.63,-3.55


1.167041,1.95,-4.01,-3.5


1.212581,1.6,-4.19,-3.43


1.230819,1.19,-4.42,-3.36


1.249176,1.19,-4.42,-3.36


1.273148,0.84,-4.57,-3.25


1.294215,0.57,-4.61,-3.18


1.315198,0.45,-4.68,-3.15


1.329061,0.45,-4.68,-3.15


1.354797,0.24,-4.76,-3.02


1.379501,0.07,-4.78,-2.94


1.420449,-0.19,-4.9,-2.92


1.436996,-0.53,-4.98,-2.86


1.451854,-0.53,-4.98,-2.86


1.481799,-0.66,-5.03,-2.79


1.506089,-0.8,-5.05,-2.65


1.528944,-0.95,-5.07,-2.65


1.556522,-0.95,-5.07,-2.65


1.580016,-1.02,-5.08,-2.57


1.627974,-1.05,-5.1,-2.58


1.648508,-1.08,-5.15,-2.58


1.669626,-1.08,-5.15,-2.58


1.68953,-1.35,-5.34,-2.55


1.71601,-1.51,-5.46,-2.53


1.735217,-1.76,-5.67,-2.58


1.756938,-1.76,-5.67,-2.58


1.770541,-1.84,-5.83,-2.55


1.798843,-1.84,-5.83,-2.55


1.832135,-2.03,-6.05,-2.56


1.844401,-2.03,-6.05,-2.56


1.872541,-2.29,-6.35,-2.74


1.892311,-2.6,-6.83,-2.7


1.909103,-2.6,-6.83,-2.7


1.932326,-2.7,-6.97,-2.74


1.956825,-2.82,-7.22,-2.76


1.977009,-2.99,-7.35,-2.73


1.997865,-2.99,-7.35,-2.73


2.019598,-3.05,-7.47,-2.66


2.063173,-3.07,-7.48,-2.69


2.081637,-3.07,-7.48,-2.69


2.103074,-3.06,-7.53,-2.62


2.12588,-3.06,-7.53,-2.62


2.149122,-3.03,-7.54,-2.6


2.178211,-2.88,-7.48,-2.58


2.20084,-2.72,-7.39,-2.6


2.221704,-2.63,-7.38,-2.62


2.268989,-2.45,-7.24,-2.6


2.292844,-2.3,-7.12,-2.58


2.313385,-2.14,-7.03,-2.6


2.36719,-2,-6.9,-2.64


2.39607,-1.96,-6.85,-2.6


2.420989,-1.96,-6.85,-2.6


2.472948,-1.71,-6.68,-2.64


2.489891,-1.57,-6.54,-2.62


2.508192,-1.57,-6.54,-2.62


2.532657,-1.5,-6.46,-2.63


2.551893,-1.4,-6.36,-2.68


2.574885,-1.28,-6.27,-2.65


2.596,-1.28,-6.27,-2.65


2.612448,-1.13,-6.09,-2.67


2.637819,-0.98,-5.92,-2.73


2.680054,-0.92,-5.82,-2.71


2.695113,-0.86,-5.69,-2.67


2.720477,-0.86,-5.69,-2.67


2.744358,-0.71,-5.63,-2.63


2.766952,-0.62,-5.55,-2.67


2.790053,-0.45,-5.43,-2.73


2.806525,-0.45,-5.43,-2.73


2.833595,-0.36,-5.44,-2.75


2.847473,-0.3,-5.42,-2.74


2.898021,-0.24,-5.42,-2.71


2.916676,-0.22,-5.41,-2.73


2.938912,-0.22,-5.42,-2.74


2.960913,-0.23,-5.44,-2.73


2.978275,-0.23,-5.44,-2.73


3.006022,-0.26,-5.46,-2.7


3.027822,-0.27,-5.52,-2.72


3.046335,-0.27,-5.52,-2.72


3.079483,-0.28,-5.47,-2.74


3.133029,-0.34,-5.5,-2.78


3.169368,-0.59,-5.56,-2.74


3.190132,-0.76,-5.63,-2.74


3.209915,-1.17,-5.75,-2.76


3.239427,-1.81,-5.85,-2.73


3.259339,-1.81,-5.85,-2.73


3.284986,-2.24,-5.95,-2.69


3.337699,-2.24,-5.95,-2.69


3.362605,-2.24,-5.95,-2.69


3.388198,-2.24,-5.95,-2.69


3.412606,-2.63,-6.09,-2.61


3.44036,-7.7,-6.86,-1.54


3.46499,-7.7,-6.86,-1.54


3.488549,-7.7,-6.86,-1.54


3.539224,-10.31,-6.81,-0.95


3.557845,-10.31,-6.81,-0.95


3.577899,-10.69,-6.7,-0.78


3.599789,-11.42,-6.69,-0.59


