delta time, euler x , euler y , euler z
0.01999999,0,0,0


0.03999998,4.91,-1.75,3.82


0.1435711,4.84,-1.7,3.84


0.2380229,4.76,-1.61,3.94


0.2543044,4.76,-1.61,3.94


0.2986018,4.7,-1.53,4.01


0.3148676,4.7,-1.53,4.01


0.3481973,4.61,-1.51,4.09


0.3709182,4.61,-1.46,4.15


0.3971853,4.59,-1.46,4.18


0.4106565,4.56,-1.47,4.23


0.4457996,4.56,-1.47,4.23


0.4707885,4.55,-1.48,4.28


0.5001992,4.44,-1.52,4.3


0.5253301,4.44,-1.52,4.3


0.5592305,4.38,-1.56,4.3


0.5830953,4.37,-1.55,4.32


0.6073744,4.35,-1.53,4.35


0.6354569,4.2,-1.52,4.4


0.6622812,3.92,-1.5,4.49


0.6843674,3.76,-1.48,4.56


0.7171777,3.51,-1.46,4.65


0.7473822,2.71,-1.39,5.01


0.7696421,2.32,-1.42,5.19


0.7927348,2.32,-1.42,5.19


0.8168314,2.23,-1.4,5.38


0.8333642,2.16,-1.42,5.43


0.8620377,2.06,-1.45,5.46


0.8922296,2.02,-1.47,5.52


0.9120038,2.02,-1.47,5.52


0.9306651,1.99,-1.5,5.55


0.9598582,2,-1.49,5.57


0.9885149,2.01,-1.5,5.59


1.04767,2.04,-1.5,5.61


1.08862,2.06,-1.5,5.61


1.120447,2.11,-1.51,5.6


1.154154,2.11,-1.53,5.6


1.194244,2.13,-1.57,5.54


1.244117,2.15,-1.62,5.51


1.266072,2.18,-1.66,5.49


1.294105,2.22,-1.67,5.49


1.320157,2.31,-1.71,5.49


1.351099,2.37,-1.76,5.48


1.380204,2.44,-1.78,5.47


1.403217,2.54,-1.79,5.46


1.453768,2.58,-1.81,5.45


1.477489,2.62,-1.85,5.44


1.503811,2.69,-1.86,5.46


1.532701,2.71,-1.9,5.45


1.559399,2.72,-1.93,5.46


1.581733,2.72,-1.93,5.46


1.604839,2.74,-1.94,5.47


1.644738,2.72,-1.96,5.5


1.663108,2.72,-1.96,5.5


1.688978,2.66,-1.98,5.52


1.714931,2.55,-2.04,5.58


1.738375,2.49,-2.06,5.61


1.767176,2.25,-2.14,5.66


1.785352,2.25,-2.14,5.66


1.800789,1.64,-2.36,5.82


1.829086,0.36,-3.13,6.2


1.866259,-1.09,-3.85,6.55


1.889226,-1.91,-4.14,6.73


1.915467,-4.04,-4.74,7.16


1.933894,-4.04,-4.74,7.16


1.962679,-6.38,-5.07,7.66


1.987328,-8.51,-5.04,8.02


2.012158,-11.39,-5.1,7.99


2.035106,-12.63,-5.09,7.92


2.06564,-13.97,-5.08,7.83


2.097351,-18.92,-4.78,6.93

