delta time, euler x , euler y , euler z
Min x, Max x, Min y, Max y, Min z, Max z
0.01999999,-3.71,-5.64,-4.47


0.03999998,-0.15,5.54,-10.87


0.1303701,-2.61,3.75,-11.78


0.2095028,-4.42,5.09,-12.52


0.2591962,-4.3,5.71,-12.7


0.2709035,-4.3,5.71,-12.7


0.2932475,-4.01,6.11,-12.69


0.3165356,-3.86,6.27,-12.7


0.3327859,-3.86,6.27,-12.7


0.3480612,-3.45,6.32,-12.69


0.3647438,-3.45,6.32,-12.69


0.389485,-3.18,6.35,-12.66


0.4023583,-3.18,6.35,-12.66


0.4254464,-3.1,6.38,-12.66


0.4642895,-3.09,6.31,-12.56


0.4805026,-3.09,6.31,-12.56


0.507191,-3.11,6.27,-12.5


0.5235564,-3.11,6.27,-12.5


0.5377907,-3.12,6.17,-12.41


0.5621007,-3.03,6.04,-12.3


0.5840181,-2.82,5.97,-12.21


0.6007737,-2.82,5.97,-12.21


0.6223727,-2.7,6,-12.15


0.6423378,-2.7,6,-12.15


0.68093,-1.53,5.46,-11.82


0.700096,-1.53,5.46,-11.82


0.7260413,-0.46,5.07,-11.43


0.7440881,0.83,4.53,-11.02


0.7602414,0.83,4.53,-11.02


0.7842691,1.65,4.13,-10.72


0.8057637,1.92,3.95,-10.65


0.8260838,2.26,3.62,-10.6


0.8431057,2.26,3.62,-10.6


0.8842627,2.78,3.14,-10.48


0.9087763,2.78,3.14,-10.48


0.9271342,2.81,3.01,-10.52


0.9460026,2.79,2.7,-10.63


0.9709558,2.79,2.7,-10.63


0.993272,2.88,2.29,-10.59


1.01704,3.04,1.94,-10.54


1.040232,3.24,1.69,-10.54


1.064988,3.45,1.37,-10.53


1.111583,3.45,1.37,-10.53


1.145705,3.57,1.06,-10.53


1.17916,3.62,0.8,-10.48


1.198601,3.71,0.26,-10.35


1.220935,3.67,0.09,-10.33


1.242949,3.62,-0.12,-10.33


1.259999,3.56,-0.33,-10.31


1.283538,3.32,-0.76,-10.24


1.328088,3.11,-1.22,-10.14


1.347191,2.83,-1.68,-10.08


1.370296,2.54,-2.09,-9.97


1.392117,2.54,-2.09,-9.97


1.410583,2.41,-2.28,-9.95


1.436509,2.19,-2.58,-9.94


1.457427,2.04,-2.75,-9.98


1.483671,1.99,-2.8,-10


1.524363,1.88,-2.79,-9.95


1.543037,1.88,-2.79,-9.95


1.56,1.71,-2.67,-9.98


1.58626,1.53,-2.57,-10.05


1.60712,1.44,-2.6,-10.04


1.623264,1.44,-2.6,-10.04


1.649067,1.41,-2.69,-10.03


1.671086,1.42,-2.87,-10.04


1.695679,1.39,-2.98,-10.01


1.738585,1.32,-3.18,-9.88


1.758373,1.25,-3.43,-9.78


1.775081,1.25,-3.43,-9.78


1.798964,1.2,-3.8,-9.69


