delta time, euler x , euler y , euler z
Min x, Max x, Min y, Max y, Min z, Max z
0.01999999,0,0,0


0.03999998,-6.58,-2.48,-0.25


0.09706168,-6.65,-2.5,-0.25


0.1875029,-6.89,-2.5,-0.25


0.1967169,-6.89,-2.5,-0.25


0.2779473,-6.93,-2.29,-0.38


0.3236581,-6.9,-2.17,-0.41


0.3396113,-6.9,-2.17,-0.41


0.3602813,-6.67,-2.12,-0.44


0.3821767,-6.67,-2.12,-0.44


0.3979004,-6.51,-2.06,-0.47


0.4186593,-6.18,-1.9,-0.58


0.4392128,-6.18,-1.9,-0.58


0.4591532,-6.18,-1.76,-0.59


0.472729,-6.18,-1.73,-0.59


0.4868618,-6.08,-1.79,-0.56


0.5086337,-5.8,-1.76,-0.58


0.5182898,-5.8,-1.76,-0.58


0.532208,-5.8,-1.76,-0.58


0.5447666,-5.74,-1.77,-0.55


0.560095,-5.74,-1.77,-0.55


0.5745586,-5.43,-1.71,-0.66


0.5912363,-5.43,-1.71,-0.66


0.6066046,-4.82,-1.65,-0.76


0.6206671,-4.82,-1.65,-0.76


0.6388906,-3.79,-1.58,-0.98


0.6493571,-3.79,-1.58,-0.98


0.6640034,-2.95,-1.53,-1.16


0.6767696,-2.95,-1.53,-1.16


0.6939985,-2.52,-1.5,-1.28


0.7089327,-2.52,-1.5,-1.28


0.7227355,-1.85,-1.49,-1.44


0.7487999,-1.03,-1.45,-1.65


0.7668618,-1.03,-1.45,-1.65


0.7865538,-0.57,-1.41,-1.75


0.7992787,-0.57,-1.41,-1.75


0.8170332,-0.5,-1.44,-1.79


0.837286,-0.53,-1.47,-1.78


0.8554475,-0.53,-1.47,-1.78


0.8689565,-0.75,-1.56,-1.73


0.8813938,-0.75,-1.56,-1.73


0.9024524,-1.18,-1.7,-1.56


0.9185372,-1.18,-1.7,-1.56


0.9375227,-1.71,-1.87,-1.4


0.9484279,-1.71,-1.87,-1.4


0.9699932,-2.25,-2.01,-1.22


0.9851183,-2.25,-2.01,-1.22


1.003477,-2.52,-2.06,-1.12


1.016403,-2.89,-2.13,-1.01


1.028999,-2.89,-2.13,-1.01


1.052308,-3.3,-2.18,-0.87


1.063867,-3.3,-2.18,-0.87


1.087276,-3.72,-2.29,-0.69


1.105421,-4.18,-2.41,-0.52


1.116339,-4.18,-2.41,-0.52


1.129017,-4.18,-2.41,-0.52


1.145263,-4.43,-2.45,-0.43


1.159699,-4.43,-2.45,-0.43


