delta time, euler x , euler y , euler z
Min x, Max x, Min y, Max y, Min z, Max z
0.01999999,-6.27,0.46,-0.36


0.03999998,-8.3,0.19,-0.32


0.109861,-8.45,0.15,-0.25


0.1943872,-8.48,0.08,-0.14


0.2264549,-8.44,0.08,-0.12


0.2390572,-8.44,0.08,-0.12


0.2546679,-8.42,0.06,-0.09


0.2733781,-8.42,0.06,-0.09


0.2952038,-8.33,0.05,-0.1


0.3093692,-8.21,0.02,-0.08


0.3227628,-8.21,0.02,-0.08


0.3378352,-8.12,-0.03,-0.06


0.3551415,-8.05,-0.08,-0.04


0.3789685,-7.97,-0.12,-0.02


0.3934802,-7.97,-0.12,-0.02


0.4113424,-7.78,-0.17,-0.01


0.4445071,-7.56,-0.21,0.01


0.4573268,-7.46,-0.23,0


0.4749271,-7.38,-0.24,-0.01


0.4944149,-7.24,-0.25,-0.04


0.520328,-7.24,-0.25,-0.04


0.5432373,-7.24,-0.25,-0.04


0.5661808,-7.19,-0.26,-0.03


0.588581,-7.13,-0.26,-0.03


0.6046813,-6.96,-0.26,-0.07


0.6332071,-6.83,-0.26,-0.1


0.6614245,-6.58,-0.26,-0.19


0.678286,-6.4,-0.26,-0.25


0.6932762,-6.4,-0.26,-0.25


0.7136464,-5.83,-0.21,-0.43


0.7269164,-5.5,-0.2,-0.54


0.7432129,-5.25,-0.19,-0.61


0.7647805,-4.9,-0.18,-0.7


0.7788827,-4.9,-0.18,-0.7


0.7931781,-4.7,-0.23,-0.65


0.8121033,-4.7,-0.23,-0.65


0.8290191,-4.66,-0.26,-0.63


0.8479077,-4.64,-0.28,-0.6


0.8778623,-4.6,-0.4,-0.41


0.8903722,-4.6,-0.4,-0.41


0.9102942,-4.56,-0.54,-0.27


0.9301576,-4.56,-0.54,-0.27


0.9475246,-4.34,-0.71,-0.05


0.9612524,-4.34,-0.71,-0.05


0.9845169,-4.18,-0.81,0.04


0.9983268,-3.99,-0.94,0.17


