delta time, euler x , euler y , euler z
Min x, Max x, Min y, Max y, Min z, Max z
0.01999999,-0.15,-5.2,-4.73


0.03999998,0.45,-5.06,-5.06


0.2431358,0.42,-5.2,-5.12


0.3138298,0.46,-5.26,-5.17


0.3517202,0.46,-5.27,-5.18


0.3957117,0.47,-5.26,-5.22


0.438098,0.48,-5.23,-5.25


0.4742264,0.48,-5.2,-5.27


0.5136377,0.52,-5.21,-5.32


0.558066,0.51,-5.19,-5.34


0.6026537,0.52,-5.12,-5.36


0.6448756,0.53,-5.1,-5.37


0.6870476,0.52,-5.05,-5.39


0.7290317,0.58,-5,-5.42


0.7775621,0.6,-4.98,-5.43


0.8151605,0.61,-4.95,-5.45


0.849431,0.61,-4.92,-5.47


0.8829358,0.63,-4.92,-5.49


0.9178044,0.62,-4.93,-5.5


0.9519997,0.62,-4.93,-5.52


0.9856275,0.63,-4.93,-5.55


1.017817,0.64,-4.95,-5.58


1.050709,0.57,-4.92,-5.58


1.093131,0.53,-4.9,-5.57


1.125488,0.39,-4.87,-5.52


1.158693,-0.11,-4.95,-5.38


1.189939,-0.8,-5.07,-5.11


1.220841,-1.7,-5.06,-4.75


1.275516,-3.98,-4.69,-4.22


1.330286,-7.31,-4.25,-3.93


1.360971,-8.89,-3.81,-3.99


1.393355,-9.7,-3.6,-4.07


1.41893,-11.09,-3.26,-4.36


1.451125,-12.12,-3.04,-4.57


1.483251,-12.91,-2.85,-4.72


1.51477,-13.57,-2.75,-4.78


1.546629,-13.78,-2.75,-4.79


1.578597,-14.06,-2.83,-4.8


1.60945,-14.42,-2.93,-4.85


1.642973,-14.99,-2.96,-4.98


1.676315,-15.32,-2.94,-5.04


1.709389,-15.56,-3.02,-5.03


1.751544,-15.87,-3.05,-5.11


1.784368,-16.18,-3.04,-5.15


1.817471,-16.52,-3.15,-5.19


1.849506,-16.76,-3.2,-5.21


1.881519,-17.34,-3.3,-5.25


1.912861,-18.03,-3.45,-5.3


1.942327,-18.9,-3.69,-5.35


1.973945,-20.19,-4.13,-5.41


2.002768,-20.95,-4.43,-5.47


2.034365,-22.83,-4.97,-5.57


2.066571,-24.41,-5.26,-5.5


2.096039,-24.41,-5.26,-5.5


2.126567,-25.85,-5.41,-5.16


2.157267,-26.24,-5.55,-4.89


2.185841,-26.21,-5.67,-4.75


2.238043,-25.87,-5.78,-4.86


2.294653,-25.29,-5.83,-5.03


2.319715,-24.93,-5.83,-5.1


2.357038,-24.67,-5.83,-5.18


2.386645,-24.63,-5.79,-5.2


2.420528,-24.59,-5.78,-5.19


2.452152,-24.58,-5.78,-5.15


2.482946,-24.58,-5.78,-5.09


2.51723,-24.53,-5.81,-5.06


2.550459,-24.57,-5.9,-5.11


2.582083,-24.66,-5.9,-5.11


2.613122,-24.79,-5.92,-5.07


2.645637,-25,-5.99,-4.94


2.675177,-25.37,-6.01,-4.85


2.70506,-25.55,-6.03,-4.82
